"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"019083","Rivarolo del Re ed Uniti","460","460","22","30","","","","972","324","466","27","135","","","","952","1924"
"019084","Rivolta d'Adda","1863","1830","114","97","","","","3904","1614","1806","144","493","","","","4057","7961"
"019085","Robecco d'Oglio","514","541","25","33","","","","1113","411","561","28","217","","","","1217","2330"
"019086","Romanengo","734","716","40","33","","","","1523","605","713","44","202","","","","1564","3087"
"019087","Salvirola","257","287","16","15","","","","575","220","277","16","58","","","","571","1146"
"019088","San Bassano","496","503","32","33","","","","1064","446","485","26","175","","","","1132","2196"
"019089","San Daniele Po","292","342","16","18","","","","668","197","342","17","118","","","","674","1342"
"019090","San Giovanni in Croce","436","450","19","22","","","","927","376","439","26","132","","","","973","1900"
"019091","San Martino del Lago","82","104","7","10","","","","203","59","108","8","30","","","","205","408"
"019092","Scandolara Ravara","301","312","11","26","","","","650","227","315","12","118","","","","672","1322"
"019093","Scandolara Ripa d'Oglio","136","125","4","9","","","","274","71","129","2","46","","","","248","522"
"019094","Sergnano","866","799","46","47","","","","1758","679","808","44","212","","","","1743","3501"
"019095","Sesto ed Uniti","719","781","43","35","","","","1578","582","806","41","213","","","","1642","3220"
"019096","Solarolo Rainerio","217","220","15","7","","","","459","161","217","14","73","","","","465","924"
"019097","Soncino","1708","1812","84","112","","","","3716","1403","1832","99","508","","","","3842","7558"
"019098","Soresina","1967","2030","112","126","","","","4235","1587","2057","145","701","","","","4490","8725"
"019099","Sospiro","838","647","29","42","","","","1556","543","653","39","284","","","","1519","3075"
"019100","Spinadesco","330","352","25","18","","","","725","260","349","30","96","","","","735","1460"
"019101","Spineda","131","151","8","4","","","","294","100","150","14","51","","","","315","609"
"019102","Spino d'Adda","1591","1636","85","78","","","","3390","1246","1648","117","388","","","","3399","6789"
"019103","Stagno Lombardo","337","374","30","20","","","","761","253","367","20","125","","","","765","1526"
"019104","Ticengo","81","114","7","7","","","","209","76","109","4","29","","","","218","427"
"019105","Torlino Vimercati","108","122","5","7","","","","242","91","115","9","23","","","","238","480"
"019106","Tornata","138","99","6","7","","","","250","76","95","8","27","","","","206","456"
"019107","Torre de' Picenardi","405","389","22","25","","","","841","285","400","23","137","","","","845","1686"
"019108","Torricella del Pizzo","135","134","8","13","","","","290","105","133","4","48","","","","290","580"
"019109","Trescore Cremasco","682","645","34","32","","","","1393","546","666","38","166","","","","1416","2809"
"019110","Trigolo","383","381","15","28","","","","807","310","379","22","163","","","","874","1681"
"019111","Vaiano Cremasco","838","902","41","57","","","","1838","629","907","54","239","","","","1829","3667"
"019112","Vailate","1027","1127","67","45","","","","2266","828","1094","58","247","","","","2227","4493"
"019113","Vescovato","905","915","49","53","","","","1922","682","921","61","293","","","","1957","3879"
"019114","Volongo","108","128","4","9","","","","249","77","117","5","39","","","","238","487"
"019115","Voltido","82","88","1","7","","","","178","43","94","1","22","","","","160","338"
