"Codice comune","Comune","Età","Sesso","Popolazione"
"017001","Acquafredda","44","Femmine","10"
"017001","Acquafredda","45","Totale","28"
"017001","Acquafredda","45","Maschi","14"
"017001","Acquafredda","45","Femmine","14"
"017001","Acquafredda","46","Totale","33"
"017001","Acquafredda","46","Maschi","10"
"017001","Acquafredda","46","Femmine","23"
"017001","Acquafredda","47","Totale","31"
"017001","Acquafredda","47","Maschi","14"
"017001","Acquafredda","47","Femmine","17"
"017001","Acquafredda","48","Totale","31"
"017001","Acquafredda","48","Maschi","14"
"017001","Acquafredda","48","Femmine","17"
"017001","Acquafredda","49","Totale","24"
"017001","Acquafredda","49","Maschi","12"
"017001","Acquafredda","49","Femmine","12"
"017001","Acquafredda","50","Totale","33"
"017001","Acquafredda","50","Maschi","15"
"017001","Acquafredda","50","Femmine","18"
"017001","Acquafredda","51","Totale","37"
"017001","Acquafredda","51","Maschi","26"
"017001","Acquafredda","51","Femmine","11"
"017001","Acquafredda","52","Totale","17"
"017001","Acquafredda","52","Maschi","10"
"017001","Acquafredda","52","Femmine","7"
"017001","Acquafredda","53","Totale","26"
"017001","Acquafredda","53","Maschi","9"
"017001","Acquafredda","53","Femmine","17"
"017001","Acquafredda","54","Totale","19"
"017001","Acquafredda","54","Maschi","12"
"017001","Acquafredda","54","Femmine","7"
"017001","Acquafredda","55","Totale","30"
"017001","Acquafredda","55","Maschi","19"
"017001","Acquafredda","55","Femmine","11"
"017001","Acquafredda","56","Totale","18"
"017001","Acquafredda","56","Maschi","7"
"017001","Acquafredda","56","Femmine","11"
"017001","Acquafredda","57","Totale","25"
"017001","Acquafredda","57","Maschi","14"
"017001","Acquafredda","57","Femmine","11"
"017001","Acquafredda","58","Totale","20"
"017001","Acquafredda","58","Maschi","11"
"017001","Acquafredda","58","Femmine","9"
"017001","Acquafredda","59","Totale","16"
"017001","Acquafredda","59","Maschi","8"
"017001","Acquafredda","59","Femmine","8"
"017001","Acquafredda","60","Totale","28"
"017001","Acquafredda","60","Maschi","14"
"017001","Acquafredda","60","Femmine","14"
"017001","Acquafredda","61","Totale","10"
"017001","Acquafredda","61","Maschi","5"
"017001","Acquafredda","61","Femmine","5"
"017001","Acquafredda","62","Totale","11"
"017001","Acquafredda","62","Maschi","4"
"017001","Acquafredda","62","Femmine","7"
"017001","Acquafredda","63","Totale","16"
"017001","Acquafredda","63","Maschi","10"
"017001","Acquafredda","63","Femmine","6"
"017001","Acquafredda","64","Totale","9"
"017001","Acquafredda","64","Maschi","4"
"017001","Acquafredda","64","Femmine","5"
"017001","Acquafredda","65","Totale","13"
"017001","Acquafredda","65","Maschi","8"
"017001","Acquafredda","65","Femmine","5"
"017001","Acquafredda","66","Totale","19"
"017001","Acquafredda","66","Maschi","10"
"017001","Acquafredda","66","Femmine","9"
"017001","Acquafredda","67","Totale","15"
"017001","Acquafredda","67","Maschi","6"
"017001","Acquafredda","67","Femmine","9"
"017001","Acquafredda","68","Totale","20"
"017001","Acquafredda","68","Maschi","9"
"017001","Acquafredda","68","Femmine","11"
"017001","Acquafredda","69","Totale","19"
"017001","Acquafredda","69","Maschi","12"
"017001","Acquafredda","69","Femmine","7"
"017001","Acquafredda","70","Totale","8"
"017001","Acquafredda","70","Maschi","6"
"017001","Acquafredda","70","Femmine","2"
