"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"017001","Acquafredda","317","375","19","13","","","","724","304","375","24","94","","","","797","1521"
"017002","Adro","1652","1686","93","113","","","","3544","1348","1708","102","424","","","","3582","7126"
"017003","Agnosine","390","432","25","27","","","","874","260","431","20","110","","","","821","1695"
"017004","Alfianello","563","602","19","31","","","","1215","456","586","24","147","","","","1213","2428"
"017005","Anfo","134","114","8","10","","","","266","69","110","11","26","","","","216","482"
"017006","Angolo Terme","578","537","36","35","","","","1186","454","522","21","170","","","","1167","2353"
"017007","Artogne","887","800","43","47","","","","1777","718","787","44","211","","","","1760","3537"
"017008","Azzano Mella","873","798","42","31","","","","1744","679","760","62","115","","","","1616","3360"
"017009","Bagnolo Mella","2911","2935","147","134","","","","6127","2443","2920","202","776","","","","6341","12468"
"017010","Bagolino","874","950","46","53","","","","1923","651","924","41","316","","","","1932","3855"
"017011","Barbariga","570","547","29","24","","","","1170","410","530","27","150","","","","1117","2287"
"017012","Barghe","311","283","13","9","","","","616","202","290","15","52","","","","559","1175"
"017013","Bassano Bresciano","585","559","19","19","","","","1182","435","534","32","114","","","","1115","2297"
"017014","Bedizzole","2901","2814","219","117","","","","6051","2451","2819","249","616","","","","6135","12186"
"017015","Berlingo","679","686","32","25","","","","1422","529","674","27","102","","","","1332","2754"
"017016","Berzo Demo","383","403","16","27","","","","829","260","396","15","127","","","","798","1627"
"017017","Berzo Inferiore","578","603","25","20","","","","1226","488","605","41","122","","","","1256","2482"
"017018","Bienno","878","908","43","53","","","","1882","705","922","56","233","","","","1916","3798"
"017019","Bione","308","333","17","16","","","","674","243","341","17","89","","","","690","1364"
