MONTH_PERIOD;YEAR_PARSED;MONTH;PROV;MUNICIPALITY;N_respiratory_events
2018-10-01;2018;10;BS;BRESCIA;124
2018-10-01;2018;10;BS;REZZATO;18
2018-10-01;2018;10;CR;SORESINA;3
2018-11-01;2018;11;BS;BRESCIA;135
2018-11-01;2018;11;BS;REZZATO;10
2018-11-01;2018;11;CR;SORESINA;12
2018-12-01;2018;12;BS;BRESCIA;182
2018-12-01;2018;12;BS;REZZATO;12
2018-12-01;2018;12;CR;SORESINA;6
2019-01-01;2019;1;BS;BRESCIA;198
2019-01-01;2019;1;BS;REZZATO;14
2019-01-01;2019;1;CR;SORESINA;10
2019-02-01;2019;2;BS;BRESCIA;203
2019-02-01;2019;2;BS;REZZATO;19
2019-02-01;2019;2;CR;SORESINA;9
2019-03-01;2019;3;BS;BRESCIA;167
2019-03-01;2019;3;BS;REZZATO;10
2019-03-01;2019;3;CR;SORESINA;8
2019-04-01;2019;4;BS;BRESCIA;162
2019-04-01;2019;4;BS;REZZATO;13
2019-04-01;2019;4;CR;SORESINA;12
2019-05-01;2019;5;BS;BRESCIA;159
2019-05-01;2019;5;BS;REZZATO;10
2019-05-01;2019;5;CR;SORESINA;13
2019-06-01;2019;6;BS;BRESCIA;141
2019-06-01;2019;6;BS;REZZATO;15
2019-06-01;2019;6;CR;SORESINA;8
2019-07-01;2019;7;BS;BRESCIA;155
2019-07-01;2019;7;BS;REZZATO;16
2019-07-01;2019;7;CR;SORESINA;7
2019-08-01;2019;8;BS;BRESCIA;136
2019-08-01;2019;8;BS;REZZATO;9
2019-08-01;2019;8;CR;SORESINA;9
2019-09-01;2019;9;BS;BRESCIA;132
2019-09-01;2019;9;BS;REZZATO;9
2019-09-01;2019;9;CR;SORESINA;8
2019-10-01;2019;10;BS;BRESCIA;190
2019-10-01;2019;10;BS;REZZATO;15
2019-10-01;2019;10;CR;SORESINA;8
2019-11-01;2019;11;BS;BRESCIA;164
2019-11-01;2019;11;BS;REZZATO;15
2019-11-01;2019;11;CR;SORESINA;7
2019-12-01;2019;12;BS;BRESCIA;183
2019-12-01;2019;12;BS;REZZATO;21
2019-12-01;2019;12;CR;SORESINA;7
2023-01-01;2023;1;BS;BRESCIA;210
2023-01-01;2023;1;BS;REZZATO;11
2023-01-01;2023;1;CR;SORESINA;10
2023-02-01;2023;2;BS;BRESCIA;196
2023-02-01;2023;2;BS;REZZATO;6
2023-02-01;2023;2;CR;SORESINA;14
2023-03-01;2023;3;BS;BRESCIA;184
2023-03-01;2023;3;BS;REZZATO;9
2023-03-01;2023;3;CR;SORESINA;13
2023-04-01;2023;4;BS;BRESCIA;183
2023-04-01;2023;4;BS;REZZATO;9
2023-04-01;2023;4;CR;SORESINA;11
2023-05-01;2023;5;BS;BRESCIA;132
2023-05-01;2023;5;BS;REZZATO;11
2023-05-01;2023;5;CR;SORESINA;11
2023-06-01;2023;6;BS;BRESCIA;143
2023-06-01;2023;6;BS;REZZATO;8
2023-06-01;2023;6;CR;SORESINA;9
2023-07-01;2023;7;BS;BRESCIA;136
2023-07-01;2023;7;BS;REZZATO;8
2023-07-01;2023;7;CR;SORESINA;9
2023-08-01;2023;8;BS;BRESCIA;162
2023-08-01;2023;8;BS;REZZATO;8
2023-08-01;2023;8;CR;SORESINA;9
2023-09-01;2023;9;BS;BRESCIA;150
2023-09-01;2023;9;BS;REZZATO;15
2023-09-01;2023;9;CR;SORESINA;11
2023-10-01;2023;10;BS;BRESCIA;152
2023-10-01;2023;10;BS;REZZATO;16
2023-10-01;2023;10;CR;SORESINA;11
2023-11-01;2023;11;BS;BRESCIA;173
2023-11-01;2023;11;BS;REZZATO;10
2023-11-01;2023;11;CR;SORESINA;15
2023-12-01;2023;12;BS;BRESCIA;248
2023-12-01;2023;12;BS;REZZATO;12
2023-12-01;2023;12;CR;SORESINA;7
