BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
17165;RONCADELLE;Industrial;BS;0.2278019526132611;0.1779834934077779;0.2501612891839543;0.0721777957761763;0.1024178471566187;0.335157533806854;0.000117362516002;0.2564267351927372;0.0001508854548183;0.2501612891839543;0.0001471987102352;0.2278019526132611;0.0001340419627869;0.1779834934077779;0.0001047277555177;0.0657554314719764;3.869108078860983e-05
17042;CASTEL MELLA;Industrial;BS;0.1860949616695533;0.0759546383519471;0.2222920970288017;0.1463374586768545;0.156949108929539;0.2164441529841944;0.0001035722468274;0.2222920970288017;0.0001317438954118;0.2254529521738936;0.0001336172363219;0.1860949616695533;0.0001102910243749;0.0759546383519471;4.5014978658918566e-05;-0.0368794577666733;-2.185669037230711e-05
17186;TORBOLE CASAGLIA;Industrial;BS;0.1747109445288655;0.0632660895579159;0.1992066905244899;0.135940600966574;0.149551293524749;0.2041191286897403;9.439652230846871e-05;0.1992066905244899;0.000117072669377;0.2083957238203584;0.000122473078866;0.1747109445288655;0.0001026765086926;0.0632660895579159;3.718083653458492e-05;-0.0732739946786461;-4.306203833296654e-05
17173;SAN ZENO NAVIGLIO;Industrial;BS;0.089911334186477;0.0373820194585657;0.1715227818487139;0.1341407623901481;0.0091625568318274;0.1763767513128116;6.797097673718399e-05;0.2191047916916002;0.0001288643005814;0.1715227818487139;0.0001008791358192;0.089911334186477;5.288005761887831e-05;0.037285040039516;2.192859266558985e-05;0.0373820194585657;2.1985629664873888e-05
17029;BRESCIA;Industrial;BS;0.1263411255884775;0.0831018279571719;0.1333195727260604;0.0502177447688885;0.0205472314333485;0.2086531315482463;6.472051317431285e-05;0.1926066802603151;0.0001142374463882;0.1333195727260604;7.907324130165216e-05;0.1263411255884775;7.493422016591425e-05;0.0831018279571719;4.928842315606047e-05;-0.0525221795112714;-3.115111730679153e-05
17072;FLERO;Industrial;BS;0.1476259826778707;-0.0261594759881272;0.1606683925834822;0.1868278685716095;0.0480445778319014;0.233781065798221;5.7952753897162366e-05;0.2216526771984952;0.0001311340887031;0.1606683925834822;9.50542432593398e-05;0.1476259826778707;8.733805751982747e-05;-0.0261594759881272;-1.547623608787948e-05;-0.0669245375256226;-3.959320401959497e-05
17021;BORGOSATOLLO;Industrial;BS;0.0482061277572422;0.0235881782298247;0.1204274899118018;0.096839311681977;-0.0521813524479016;0.1365420674092568;4.2370452773946464e-05;0.0482061277572422;2.860485688927532e-05;0.1249885802579883;7.416684859860808e-05;0.1204274899118018;7.146032861925516e-05;0.0187691517899107;1.113733869900966e-05;0.0235881782298247;1.3996882097300798e-05
19004;AZZANELLO;Agricultural;CR;0.0457359595998204;0.0039436085038189;0.082359436230051;0.078415827726232;-0.0500874759536642;0.1372670934388606;2.9017825616021e-05;0.1897950677798701;0.0001008708340194;-0.0383483445568011;-2.0380840789657045e-05;0.0457359595998204;2.430721445544533e-05;0.082359436230051;4.37715170850316e-05;0.0039436085038189;2.095898449947827e-06
17043;CASTENEDOLO;Industrial;BS;-0.0368811657836342;-0.0507075667451791;-0.0106279540042247;0.0400796127409544;-0.1199803453016914;0.0342073669255226;-1.369679902002031e-05;0.0989740861660802;5.865423194091004e-05;-0.0368811657836342;-2.185642012657962e-05;-0.0106279540042247;-6.298320039003953e-06;-0.0668028505795161;-3.958846131027275e-05;-0.0507075667451791;-3.005016136746352e-05
17048;CELLATICA;Industrial;BS;-0.0362457248231604;-0.0850098615945281;0.0217874245012395;0.1067972860957676;-0.1216204022184724;0.0279124694553465;-2.36990429808029e-05;-0.0850098615945281;-5.036340454352348e-05;-0.0362457248231604;-2.147354776552845e-05;0.0503487804645011;2.982896436315893e-05;0.0217874245012395;1.2907864186971172e-05;-0.1224042861769124;-7.251726969997304e-05
