Exposure Threshold [%] VS Time Lag [days],0,3,7,14
75,4.169430392991401e-05,3.85662671075153e-05,3.7213412402963285e-05,4.134797586013435e-05
85,3.7315156132062904e-05,3.193047785295889e-05,3.13864813354196e-05,3.605943150519297e-05
95,3.0143115643913973e-05,2.3787615593117376e-05,3.027774178776918e-05,3.0125455330056466e-05
