Area;Pollutant;N_days;Mean_arithmetic;Mean_population_weighted;Mean_difference_population_weighted_minus_arithmetic;Median_difference_population_weighted_minus_arithmetic;Correlation_arithmetic_vs_population_weighted
Industrial;NO2;1826;28.281547782037237;30.8664352815588;2.5848874995215647;2.517020420847955;0.9945755819483203
Industrial;PM25;1826;21.059042990142387;21.09900118139496;0.03995819125257115;0.0790351004687313;0.9969576667502278
Agricultural;NO2;1826;23.505395608407653;23.55487651965073;0.049480911243073473;-0.015396382916455842;0.9983141255883029
Agricultural;PM25;1826;21.96787148594377;22.178639311895356;0.21076782595158228;0.12761765555797844;0.9993985318184131
