MonthPeriod;Area;Outcome;N_events;Year;Month;Population;Rate_per_10000
2017-09-01;Agricultural;Respiratory;29;2017;9;60562;4.788481225851194
2017-09-01;Agricultural;Cardiocirculatory;64;2017;9;60562;10.567682705326773
2017-10-01;Industrial;Respiratory;193;2017;10;338533;5.701069024290099
2017-10-01;Industrial;Cardiocirculatory;558;2017;10;338533;16.482883500279147
2017-10-01;Agricultural;Respiratory;31;2017;10;60562;5.118721310392655
2017-10-01;Agricultural;Cardiocirculatory;95;2017;10;60562;15.686404015719429
2017-11-01;Industrial;Respiratory;181;2017;11;338533;5.34659841138087
2017-11-01;Industrial;Cardiocirculatory;553;2017;11;338533;16.335187411566967
2017-11-01;Agricultural;Respiratory;45;2017;11;60562;7.430401902182886
2017-11-01;Agricultural;Cardiocirculatory;100;2017;11;60562;16.51200422707308
2017-12-01;Industrial;Respiratory;230;2017;12;338533;6.794020080760221
2017-12-01;Industrial;Cardiocirculatory;629;2017;12;338533;18.58016795999208
2017-12-01;Agricultural;Respiratory;43;2017;12;60562;7.100161817641426
2017-12-01;Agricultural;Cardiocirculatory;129;2017;12;60562;21.300485452924278
2018-01-01;Industrial;Respiratory;268;2018;1;338804;7.910178156102053
2018-01-01;Industrial;Cardiocirculatory;717;2018;1;338804;21.162678126586464
2018-01-01;Agricultural;Respiratory;71;2018;1;60224;11.78931987247609
2018-01-01;Agricultural;Cardiocirculatory;122;2018;1;60224;20.257704569606805
2018-02-01;Industrial;Respiratory;216;2018;2;338804;6.375367469097178
2018-02-01;Industrial;Cardiocirculatory;617;2018;2;338804;18.211119113115547
2018-02-01;Agricultural;Respiratory;28;2018;2;60224;4.649309245483528
2018-02-01;Agricultural;Cardiocirculatory;79;2018;2;60224;13.11769394261424
2018-03-01;Industrial;Respiratory;240;2018;3;338804;7.083741632330197
2018-03-01;Industrial;Cardiocirculatory;688;2018;3;338804;20.306726012679896
2018-03-01;Agricultural;Respiratory;44;2018;3;60224;7.306057385759829
2018-03-01;Agricultural;Cardiocirculatory;85;2018;3;60224;14.113974495217853
2018-04-01;Industrial;Respiratory;197;2018;4;338804;5.814571256537703
2018-04-01;Industrial;Cardiocirculatory;582;2018;4;338804;17.17807345840073
2018-04-01;Agricultural;Respiratory;43;2018;4;60224;7.140010626992561
2018-04-01;Agricultural;Cardiocirculatory;84;2018;4;60224;13.947927736450586
2018-05-01;Industrial;Respiratory;179;2018;5;338804;5.283290634112938
2018-05-01;Industrial;Cardiocirculatory;571;2018;5;338804;16.853401966918927
2018-05-01;Agricultural;Respiratory;41;2018;5;60224;6.807917109458024
2018-05-01;Agricultural;Cardiocirculatory;112;2018;5;60224;18.597236981934113
2018-06-01;Industrial;Respiratory;170;2018;6;338804;5.017650322900557
2018-06-01;Industrial;Cardiocirculatory;505;2018;6;338804;14.905373018028122
2018-06-01;Agricultural;Respiratory;35;2018;6;60224;5.811636556854411
2018-06-01;Agricultural;Cardiocirculatory;92;2018;6;60224;15.276301806588735
2018-07-01;Industrial;Respiratory;211;2018;7;338804;6.227789518423631
