Outcome;Area;Rate_per_10000
Cardiocirculatory;Agricultural;176.7285140124141
Cardiocirculatory;Industrial;196.3240843026375
Respiratory;Agricultural;79.39504507121687
Respiratory;Industrial;78.60567698373272
