Year;Municipality_code;Municipality_population;Population;Area;PROV;Municipality_study_area
2023;017025;BOVEZZO;7308;Industrial;BS;BOVEZZO
2023;017029;BRESCIA;197236;Industrial;BS;BRESCIA
2023;017042;CASTEL MELLA;10909;Industrial;BS;CASTEL MELLA
2023;017043;CASTENEDOLO;11596;Industrial;BS;CASTENEDOLO
2023;017048;CELLATICA;4859;Industrial;BS;CELLATICA
2023;017057;COLLEBEATO;4454;Industrial;BS;COLLEBEATO
2023;017061;CONCESIO;15698;Industrial;BS;CONCESIO
2023;017072;FLERO;8728;Industrial;BS;FLERO
2023;017081;GUSSAGO;16568;Industrial;BS;GUSSAGO
2023;017117;NAVE;10565;Industrial;BS;NAVE
2023;017149;PONTEVICO;7001;Agricultural;BS;PONTEVICO
2023;017159;QUINZANO D'OGLIO;6211;Agricultural;BS;QUINZANO D'OGLIO
2023;017161;REZZATO;13375;Industrial;BS;REZZATO
2023;017165;RONCADELLE;9263;Industrial;BS;RONCADELLE
2023;017173;SAN ZENO NAVIGLIO;4674;Industrial;BS;SAN ZENO NAVIGLIO
2023;017186;TORBOLE CASAGLIA;6440;Industrial;BS;TORBOLE CASAGLIA
2023;017196;VEROLAVECCHIA;3814;Agricultural;BS;VEROLAVECCHIA
2023;017200;VILLACHIARA;1362;Agricultural;BS;VILLACHIARA
2016;019003;ANNICCO;2038;Agricultural;CR;ANNICCO
2016;019004;AZZANELLO;650;Agricultural;CR;AZZANELLO
2016;019007;BORDOLANO;602;Agricultural;CR;BORDOLANO
2016;019016;CASALBUTTANO ED UNITI;3855;Agricultural;CR;CASALBUTTANO ED UNITI
2016;019022;CASALMORANO;1614;Agricultural;CR;CASALMORANO
2016;019026;CASTELVERDE;5682;Agricultural;CR;CASTELVERDE
2016;019027;CASTELVISCONTI;334;Agricultural;CR;CASTELVISCONTI
2016;019032;CORTE DE' CORTESI CON CIGNONE;1081;Agricultural;CR;CORTE DE' CORTESI CON CIGNONE
2016;019033;CORTE DE' FRATI;1414;Agricultural;CR;CORTE DE' FRATI
2016;019047;GENIVOLTA;1263;Agricultural;CR;GENIVOLTA
2016;019063;OLMENETA;942;Agricultural;CR;OLMENETA
2016;019065;PADERNO PONCHIELLI;1430;Agricultural;CR;PADERNO PONCHIELLI
2016;019068;PERSICO DOSIMO;3406;Agricultural;CR;PERSICO DOSIMO
2016;019077;POZZAGLIO ED UNITI;1496;Agricultural;CR;POZZAGLIO ED UNITI
2016;019085;ROBECCO D'OGLIO;2382;Agricultural;CR;ROBECCO D'OGLIO
2016;019098;SORESINA;8833;Agricultural;CR;SORESINA
2017;019003;ANNICCO;2035;Agricultural;CR;ANNICCO
2017;019004;AZZANELLO;630;Agricultural;CR;AZZANELLO
2017;019007;BORDOLANO;620;Agricultural;CR;BORDOLANO
2017;019016;CASALBUTTANO ED UNITI;3849;Agricultural;CR;CASALBUTTANO ED UNITI
2017;019022;CASALMORANO;1631;Agricultural;CR;CASALMORANO
2017;019026;CASTELVERDE;5652;Agricultural;CR;CASTELVERDE
2017;019027;CASTELVISCONTI;337;Agricultural;CR;CASTELVISCONTI
2017;019032;CORTE DE' CORTESI CON CIGNONE;1084;Agricultural;CR;CORTE DE' CORTESI CON CIGNONE
2017;019033;CORTE DE' FRATI;1403;Agricultural;CR;CORTE DE' FRATI
2017;019047;GENIVOLTA;1205;Agricultural;CR;GENIVOLTA
2017;019063;OLMENETA;930;Agricultural;CR;OLMENETA
2017;019065;PADERNO PONCHIELLI;1421;Agricultural;CR;PADERNO PONCHIELLI
2017;019068;PERSICO DOSIMO;3371;Agricultural;CR;PERSICO DOSIMO
2017;019077;POZZAGLIO ED UNITI;1481;Agricultural;CR;POZZAGLIO ED UNITI
2017;019085;ROBECCO D'OGLIO;2347;Agricultural;CR;ROBECCO D'OGLIO
2017;019098;SORESINA;8788;Agricultural;CR;SORESINA
2018;019003;ANNICCO;2021;Agricultural;CR;ANNICCO
2018;019004;AZZANELLO;630;Agricultural;CR;AZZANELLO
2018;019007;BORDOLANO;604;Agricultural;CR;BORDOLANO
2018;019016;CASALBUTTANO ED UNITI;3830;Agricultural;CR;CASALBUTTANO ED UNITI
2018;019022;CASALMORANO;1616;Agricultural;CR;CASALMORANO
2018;019026;CASTELVERDE;5622;Agricultural;CR;CASTELVERDE
2018;019027;CASTELVISCONTI;321;Agricultural;CR;CASTELVISCONTI
2018;019032;CORTE DE' CORTESI CON CIGNONE;1070;Agricultural;CR;CORTE DE' CORTESI CON CIGNONE
2018;019033;CORTE DE' FRATI;1371;Agricultural;CR;CORTE DE' FRATI
2018;019047;GENIVOLTA;1166;Agricultural;CR;GENIVOLTA
2018;019063;OLMENETA;935;Agricultural;CR;OLMENETA
2018;019065;PADERNO PONCHIELLI;1407;Agricultural;CR;PADERNO PONCHIELLI
2018;019068;PERSICO DOSIMO;3358;Agricultural;CR;PERSICO DOSIMO
2018;019077;POZZAGLIO ED UNITI;1455;Agricultural;CR;POZZAGLIO ED UNITI
2018;019085;ROBECCO D'OGLIO;2316;Agricultural;CR;ROBECCO D'OGLIO
2018;019098;SORESINA;8725;Agricultural;CR;SORESINA
2019;019003;ANNICCO;2019;Agricultural;CR;ANNICCO
2019;019004;AZZANELLO;614;Agricultural;CR;AZZANELLO
2019;019007;BORDOLANO;593;Agricultural;CR;BORDOLANO
2019;019016;CASALBUTTANO ED UNITI;3762;Agricultural;CR;CASALBUTTANO ED UNITI
2019;019022;CASALMORANO;1620;Agricultural;CR;CASALMORANO
2019;019026;CASTELVERDE;5608;Agricultural;CR;CASTELVERDE
2019;019027;CASTELVISCONTI;300;Agricultural;CR;CASTELVISCONTI
2019;019032;CORTE DE' CORTESI CON CIGNONE;1072;Agricultural;CR;CORTE DE' CORTESI CON CIGNONE
2019;019033;CORTE DE' FRATI;1358;Agricultural;CR;CORTE DE' FRATI
2019;019047;GENIVOLTA;1166;Agricultural;CR;GENIVOLTA
2019;019063;OLMENETA;928;Agricultural;CR;OLMENETA
2019;019065;PADERNO PONCHIELLI;1397;Agricultural;CR;PADERNO PONCHIELLI
2019;019068;PERSICO DOSIMO;3364;Agricultural;CR;PERSICO DOSIMO
2019;019077;POZZAGLIO ED UNITI;1454;Agricultural;CR;POZZAGLIO ED UNITI
2019;019085;ROBECCO D'OGLIO;2330;Agricultural;CR;ROBECCO D'OGLIO
2019;019098;SORESINA;8725;Agricultural;CR;SORESINA
2023;019003;ANNICCO;1974;Agricultural;CR;ANNICCO
2023;019004;AZZANELLO;617;Agricultural;CR;AZZANELLO
2023;019007;BORDOLANO;551;Agricultural;CR;BORDOLANO
2023;019016;CASALBUTTANO ED UNITI;3626;Agricultural;CR;CASALBUTTANO ED UNITI
2023;019022;CASALMORANO;1653;Agricultural;CR;CASALMORANO
2023;019026;CASTELVERDE;5567;Agricultural;CR;CASTELVERDE
2023;019027;CASTELVISCONTI;295;Agricultural;CR;CASTELVISCONTI
2023;019032;CORTE DE' CORTESI CON CIGNONE;1057;Agricultural;CR;CORTE DE' CORTESI CON CIGNONE
2023;019033;CORTE DE' FRATI;1306;Agricultural;CR;CORTE DE' FRATI
2023;019047;GENIVOLTA;1118;Agricultural;CR;GENIVOLTA
2023;019063;OLMENETA;907;Agricultural;CR;OLMENETA
2023;019065;PADERNO PONCHIELLI;1320;Agricultural;CR;PADERNO PONCHIELLI
2023;019068;PERSICO DOSIMO;3270;Agricultural;CR;PERSICO DOSIMO
2023;019077;POZZAGLIO ED UNITI;1433;Agricultural;CR;POZZAGLIO ED UNITI
2023;019085;ROBECCO D'OGLIO;2247;Agricultural;CR;ROBECCO D'OGLIO
2023;019098;SORESINA;8847;Agricultural;CR;SORESINA
