Stazione, Nuvolento - ModAria
-999 Valore mancante o invalido

Data/Ora, Biossido di Azoto - µg/m³
2016/01/01 00:00,36.9000
2016/01/02 00:00,33.5000
2016/01/03 00:00,41.0000
2016/01/04 00:00,32.2000
2016/01/05 00:00,34.7000
2016/01/06 00:00,35.8000
2016/01/07 00:00,47.5000
2016/01/08 00:00,44.1000
2016/01/09 00:00,43.1000
2016/01/10 00:00,46.7000
2016/01/11 00:00,41.5000
2016/01/12 00:00,49.9000
2016/01/13 00:00,38.9000
2016/01/14 00:00,43.4000
2016/01/15 00:00,35.9000
2016/01/16 00:00,27.2000
2016/01/17 00:00,18.6000
2016/01/18 00:00,39.6000
2016/01/19 00:00,46.1000
2016/01/20 00:00,53.9000
2016/01/21 00:00,53.7000
2016/01/22 00:00,47.1000
2016/01/23 00:00,55.6000
2016/01/24 00:00,50.8000
2016/01/25 00:00,70.1000
2016/01/26 00:00,62.7000
2016/01/27 00:00,70.2000
2016/01/28 00:00,73.8000
2016/01/29 00:00,71.7000
2016/01/30 00:00,59.7000
2016/01/31 00:00,51.5000
2016/02/01 00:00,52.0000
2016/02/02 00:00,48.2000
2016/02/03 00:00,38.3000
2016/02/04 00:00,31.0000
2016/02/05 00:00,39.8000
2016/02/06 00:00,41.1000
2016/02/07 00:00,24.6000
2016/02/08 00:00,42.8000
2016/02/09 00:00,44.1000
2016/02/10 00:00,31.7000
2016/02/11 00:00,34.6000
2016/02/12 00:00,30.6000
2016/02/13 00:00,42.7000
2016/02/14 00:00,32.3000
2016/02/15 00:00,28.8000
2016/02/16 00:00,32.7000
2016/02/17 00:00,38.6000
2016/02/18 00:00,40.8000
2016/02/19 00:00,33.1000
2016/02/20 00:00,37.0000
2016/02/21 00:00,47.2000
2016/02/22 00:00,51.3000
2016/02/23 00:00,44.9000
2016/02/24 00:00,26.8000
2016/02/25 00:00,40.7000
2016/02/26 00:00,29.0000
2016/02/27 00:00,21.1000
2016/02/28 00:00,11.1000
2016/02/29 00:00,13.7000
2016/03/01 00:00,25.5000
2016/03/02 00:00,20.0000
2016/03/03 00:00,21.1000
2016/03/04 00:00,28.5000
2016/03/05 00:00,20.9000
2016/03/06 00:00,32.4000
2016/03/07 00:00,34.1000
2016/03/08 00:00,24.3000
2016/03/09 00:00,27.7000
2016/03/10 00:00,27.4000
2016/03/11 00:00,30.8000
2016/03/12 00:00,20.1000
2016/03/13 00:00,19.2000
2016/03/14 00:00,23.4000
2016/03/15 00:00,23.9000
2016/03/16 00:00,13.9000
2016/03/17 00:00,28.0000
2016/03/18 00:00,31.5000
2016/03/19 00:00,31.3000
2016/03/20 00:00,21.2000
2016/03/21 00:00,21.6000
2016/03/22 00:00,17.8000
2016/03/23 00:00,19.0000
2016/03/24 00:00,21.4000
2016/03/25 00:00,22.3000
2016/03/26 00:00,23.3000
2016/03/27 00:00,15.3000
2016/03/28 00:00,16.4000
2016/03/29 00:00,29.2000
2016/03/30 00:00,27.4000
2016/03/31 00:00,27.7000
2016/04/01 00:00,18.0000
2016/04/02 00:00,16.4000
2016/04/03 00:00,13.7000
2016/04/04 00:00,17.7000
2016/04/05 00:00,22.5000
2016/04/06 00:00,20.6000
2016/04/07 00:00,19.7000
2016/04/08 00:00,16.8000
2016/04/09 00:00,14.3000
2016/04/10 00:00,14.0000
2016/04/11 00:00,18.8000
2016/04/12 00:00,19.1000
2016/04/13 00:00,13.3000
2016/04/14 00:00,14.9000
2016/04/15 00:00,17.7000
2016/04/16 00:00,14.5000
2016/04/17 00:00,14.5000
2016/04/18 00:00,14.5000
2016/04/19 00:00,18.9000
2016/04/20 00:00,14.5000
2016/04/21 00:00,20.0000
2016/04/22 00:00,24.3000
2016/04/23 00:00,15.9000
2016/04/24 00:00,10.6000
2016/04/25 00:00,12.6000
2016/04/26 00:00,15.8000
2016/04/27 00:00,16.2000
2016/04/28 00:00,19.3000
2016/04/29 00:00,20.6000
2016/04/30 00:00,12.5000
2016/05/01 00:00,11.9000
2016/05/02 00:00,13.9000
2016/05/03 00:00,14.4000
2016/05/04 00:00,13.8000
2016/05/05 00:00,11.7000
2016/05/06 00:00,14.9000
2016/05/07 00:00,12.1000
2016/05/08 00:00,9.4000
2016/05/09 00:00,12.5000
2016/05/10 00:00,15.5000
2016/05/11 00:00,11.6000
2016/05/12 00:00,16.1000
2016/05/13 00:00,27.1000
2016/05/14 00:00,17.2000
2016/05/15 00:00,8.6000
2016/05/16 00:00,10.6000
2016/05/17 00:00,13.6000
2016/05/18 00:00,18.1000
2016/05/19 00:00,14.7000
2016/05/20 00:00,21.2000
2016/05/21 00:00,16.9000
2016/05/22 00:00,9.7000
2016/05/23 00:00,14.5000
2016/05/24 00:00,18.2000
2016/05/25 00:00,22.4000
2016/05/26 00:00,15.8000
2016/05/27 00:00,14.5000
2016/05/28 00:00,11.8000
2016/05/29 00:00,10.9000
2016/05/30 00:00,19.4000
2016/05/31 00:00,11.3000
2016/06/01 00:00,23.4000
2016/06/02 00:00,14.0000
2016/06/03 00:00,16.9000
2016/06/04 00:00,15.5000
2016/06/05 00:00,8.2000
2016/06/06 00:00,12.3000
2016/06/07 00:00,13.1000
2016/06/08 00:00,17.3000
2016/06/09 00:00,13.7000
2016/06/10 00:00,13.6000
2016/06/11 00:00,14.8000
2016/06/12 00:00,12.4000
2016/06/13 00:00,15.0000
2016/06/14 00:00,10.2000
2016/06/15 00:00,13.4000
2016/06/16 00:00,8.6000
2016/06/17 00:00,19.3000
2016/06/18 00:00,11.7000
2016/06/19 00:00,8.5000
2016/06/20 00:00,14.1000
2016/06/21 00:00,16.8000
2016/06/22 00:00,14.7000
2016/06/23 00:00,12.7000
2016/06/24 00:00,16.6000
2016/06/25 00:00,9.4000
2016/06/26 00:00,8.7000
2016/06/27 00:00,12.8000
2016/06/28 00:00,13.0000
2016/06/29 00:00,11.4000
2016/06/30 00:00,16.4000
2016/07/01 00:00,11.7000
2016/07/02 00:00,10.1000
2016/07/03 00:00,6.7000
2016/07/04 00:00,11.7000
2016/07/05 00:00,15.7000
2016/07/06 00:00,13.7000
2016/07/07 00:00,10.1000
2016/07/08 00:00,17.0000
2016/07/09 00:00,9.1000
2016/07/10 00:00,7.7000
2016/07/11 00:00,13.8000
2016/07/12 00:00,12.2000
2016/07/13 00:00,10.7000
2016/07/14 00:00,10.4000
2016/07/15 00:00,14.0000
2016/07/16 00:00,10.4000
2016/07/17 00:00,11.4000
2016/07/18 00:00,15.8000
2016/07/19 00:00,9.8000
2016/07/20 00:00,15.2000
2016/07/21 00:00,14.1000
2016/07/22 00:00,10.1000
2016/07/23 00:00,7.8000
2016/07/24 00:00,8.7000
2016/07/25 00:00,11.6000
2016/07/26 00:00,10.5000
2016/07/27 00:00,10.9000
2016/07/28 00:00,11.3000
2016/07/29 00:00,15.3000
2016/07/30 00:00,12.0000
2016/07/31 00:00,9.8000
2016/08/01 00:00,9.8000
2016/08/02 00:00,14.3000
2016/08/03 00:00,14.2000
2016/08/04 00:00,15.7000
2016/08/05 00:00,16.5000
2016/08/06 00:00,13.7000
2016/08/07 00:00,11.7000
2016/08/08 00:00,14.5000
2016/08/09 00:00,12.9000
2016/08/10 00:00,14.4000
2016/08/11 00:00,11.3000
2016/08/12 00:00,14.6000
2016/08/13 00:00,11.6000
2016/08/14 00:00,15.7000
2016/08/15 00:00,16.2000
2016/08/16 00:00,11.8000
2016/08/17 00:00,12.1000
2016/08/18 00:00,18.0000
2016/08/19 00:00,11.1000
2016/08/20 00:00,11.8000
2016/08/21 00:00,10.8000
2016/08/22 00:00,11.9000
2016/08/23 00:00,12.6000
2016/08/24 00:00,14.6000
2016/08/25 00:00,13.4000
2016/08/26 00:00,13.7000
2016/08/27 00:00,15.5000
2016/08/28 00:00,16.9000
2016/08/29 00:00,17.9000
2016/08/30 00:00,16.8000
2016/08/31 00:00,14.6000
2016/09/01 00:00,16.8000
2016/09/02 00:00,15.9000
2016/09/03 00:00,15.5000
2016/09/04 00:00,18.4000
2016/09/05 00:00,16.6000
2016/09/06 00:00,17.0000
2016/09/07 00:00,17.5000
2016/09/08 00:00,18.7000
2016/09/09 00:00,18.5000
2016/09/10 00:00,14.5000
2016/09/11 00:00,14.4000
2016/09/12 00:00,15.9000
2016/09/13 00:00,16.9000
2016/09/14 00:00,20.6000
2016/09/15 00:00,17.3000
2016/09/16 00:00,19.2000
2016/09/17 00:00,16.5000
2016/09/18 00:00,16.8000
2016/09/19 00:00,14.6000
2016/09/20 00:00,18.1000
2016/09/21 00:00,17.7000
2016/09/22 00:00,13.7000
2016/09/23 00:00,16.4000
2016/09/24 00:00,11.9000
2016/09/25 00:00,15.2000
2016/09/26 00:00,14.6000
2016/09/27 00:00,17.0000
2016/09/28 00:00,24.6000
2016/09/29 00:00,25.4000
2016/09/30 00:00,30.4000
2016/10/01 00:00,32.0000
2016/10/02 00:00,27.9000
2016/10/03 00:00,19.9000
2016/10/04 00:00,21.7000
2016/10/05 00:00,14.1000
2016/10/06 00:00,20.1000
2016/10/07 00:00,27.3000
2016/10/08 00:00,18.2000
2016/10/09 00:00,11.2000
2016/10/10 00:00,14.1000
2016/10/11 00:00,15.4000
2016/10/12 00:00,25.3000
2016/10/13 00:00,25.6000
2016/10/14 00:00,16.8000
2016/10/15 00:00,27.7000
2016/10/16 00:00,17.7000
2016/10/17 00:00,20.7000
2016/10/18 00:00,30.0000
2016/10/19 00:00,22.7000
2016/10/20 00:00,16.7000
2016/10/21 00:00,27.5000
2016/10/22 00:00,27.8000
2016/10/23 00:00,16.4000
2016/10/24 00:00,23.5000
2016/10/25 00:00,53.7000
2016/10/26 00:00,27.4000
2016/10/27 00:00,19.1000
2016/10/28 00:00,22.8000
2016/10/29 00:00,20.5000
2016/10/30 00:00,15.5000
2016/10/31 00:00,26.9000
2016/11/01 00:00,21.7000
2016/11/02 00:00,27.0000
2016/11/03 00:00,25.4000
2016/11/04 00:00,32.3000
2016/11/05 00:00,26.7000
2016/11/06 00:00,24.4000
2016/11/07 00:00,24.2000
2016/11/08 00:00,16.8000
2016/11/09 00:00,24.1000
2016/11/10 00:00,42.1000
2016/11/11 00:00,37.8000
2016/11/12 00:00,28.4000
2016/11/13 00:00,24.0000
2016/11/14 00:00,31.6000
2016/11/15 00:00,33.8000
2016/11/16 00:00,40.8000
2016/11/17 00:00,43.6000
2016/11/18 00:00,42.4000
2016/11/19 00:00,34.7000
2016/11/20 00:00,25.4000
2016/11/21 00:00,33.4000
2016/11/22 00:00,33.2000
2016/11/23 00:00,25.2000
2016/11/24 00:00,28.5000
2016/11/25 00:00,16.7000
2016/11/26 00:00,21.5000
2016/11/27 00:00,23.7000
2016/11/28 00:00,28.0000
2016/11/29 00:00,28.3000
2016/11/30 00:00,36.8000
2016/12/01 00:00,45.1000
2016/12/02 00:00,43.6000
2016/12/03 00:00,36.2000
2016/12/04 00:00,39.2000
2016/12/05 00:00,34.0000
2016/12/06 00:00,37.9000
2016/12/07 00:00,42.2000
2016/12/08 00:00,39.2000
2016/12/09 00:00,50.0000
2016/12/10 00:00,41.2000
2016/12/11 00:00,40.1000
2016/12/12 00:00,36.4000
2016/12/13 00:00,44.3000
2016/12/14 00:00,34.1000
2016/12/15 00:00,41.3000
2016/12/16 00:00,41.0000
2016/12/17 00:00,37.0000
2016/12/18 00:00,38.7000
2016/12/19 00:00,38.1000
2016/12/20 00:00,31.2000
2016/12/21 00:00,36.5000
2016/12/22 00:00,36.8000
2016/12/23 00:00,38.8000
2016/12/24 00:00,42.0000
2016/12/25 00:00,38.5000
2016/12/26 00:00,35.1000
2016/12/27 00:00,35.9000
2016/12/28 00:00,35.0000
2016/12/29 00:00,28.2000
2016/12/30 00:00,32.6000
2016/12/31 00:00,35.7000
2017/01/01 00:00,30.4000
2017/01/02 00:00,41.6000
2017/01/03 00:00,35.7000
2017/01/04 00:00,33.8000
2017/01/05 00:00,14.0000
2017/01/06 00:00,30.2000
2017/01/07 00:00,38.9000
2017/01/08 00:00,39.7000
2017/01/09 00:00,42.7000
2017/01/10 00:00,40.4000
2017/01/11 00:00,31.7000
2017/01/12 00:00,45.4000
2017/01/13 00:00,39.9000
2017/01/14 00:00,36.9000
2017/01/15 00:00,33.4000
2017/01/16 00:00,28.5000
2017/01/17 00:00,32.2000
2017/01/18 00:00,42.0000
2017/01/19 00:00,47.1000
2017/01/20 00:00,41.2000
2017/01/21 00:00,38.8000
2017/01/22 00:00,30.0000
2017/01/23 00:00,35.1000
2017/01/24 00:00,33.4000
2017/01/25 00:00,40.9000
2017/01/26 00:00,42.3000
2017/01/27 00:00,46.7000
2017/01/28 00:00,46.0000
2017/01/29 00:00,48.5000
2017/01/30 00:00,57.9000
2017/01/31 00:00,58.4000
2017/02/01 00:00,40.6000
2017/02/02 00:00,36.8000
2017/02/03 00:00,34.7000
2017/02/04 00:00,29.8000
2017/02/05 00:00,24.0000
2017/02/06 00:00,30.1000
2017/02/07 00:00,24.4000
2017/02/08 00:00,36.3000
2017/02/09 00:00,28.5000
2017/02/10 00:00,26.4000
2017/02/11 00:00,22.5000
2017/02/12 00:00,20.9000
2017/02/13 00:00,25.1000
2017/02/14 00:00,22.1000
2017/02/15 00:00,25.6000
2017/02/16 00:00,26.7000
2017/02/17 00:00,34.5000
2017/02/18 00:00,25.4000
2017/02/19 00:00,22.8000
2017/02/20 00:00,27.5000
2017/02/21 00:00,41.6000
2017/02/22 00:00,38.6000
2017/02/23 00:00,45.5000
2017/02/24 00:00,25.8000
2017/02/25 00:00,16.2000
2017/02/26 00:00,20.9000
2017/02/27 00:00,29.9000
2017/02/28 00:00,29.3000
2017/03/01 00:00,26.8000
2017/03/02 00:00,19.6000
2017/03/03 00:00,22.5000
2017/03/04 00:00,22.0000
2017/03/05 00:00,18.0000
2017/03/06 00:00,23.2000
2017/03/07 00:00,18.7000
2017/03/08 00:00,25.3000
2017/03/09 00:00,38.5000
2017/03/10 00:00,26.9000
2017/03/11 00:00,22.9000
2017/03/12 00:00,17.0000
2017/03/13 00:00,29.9000
2017/03/14 00:00,25.8000
2017/03/15 00:00,25.2000
2017/03/16 00:00,26.0000
2017/03/17 00:00,42.7000
2017/03/18 00:00,45.3000
2017/03/19 00:00,21.8000
2017/03/20 00:00,23.4000
2017/03/21 00:00,23.7000
2017/03/22 00:00,28.5000
2017/03/23 00:00,16.8000
2017/03/24 00:00,11.9000
2017/03/25 00:00,16.0000
2017/03/26 00:00,9.7000
2017/03/27 00:00,17.3000
2017/03/28 00:00,20.3000
2017/03/29 00:00,24.4000
2017/03/30 00:00,22.1000
2017/03/31 00:00,19.6000
2017/04/01 00:00,17.7000
2017/04/02 00:00,12.7000
2017/04/03 00:00,22.0000
2017/04/04 00:00,15.6000
2017/04/05 00:00,19.7000
2017/04/06 00:00,18.1000
2017/04/07 00:00,14.3000
2017/04/08 00:00,17.4000
2017/04/09 00:00,16.0000
2017/04/10 00:00,14.8000
2017/04/11 00:00,13.6000
2017/04/12 00:00,16.1000
2017/04/13 00:00,18.7000
2017/04/14 00:00,16.7000
2017/04/15 00:00,8.2000
2017/04/16 00:00,6.9000
2017/04/17 00:00,8.5000
2017/04/18 00:00,8.9000
2017/04/19 00:00,12.6000
2017/04/20 00:00,16.1000
2017/04/21 00:00,24.1000
2017/04/22 00:00,24.8000
2017/04/23 00:00,13.4000
2017/04/24 00:00,15.0000
2017/04/25 00:00,11.2000
2017/04/26 00:00,14.9000
2017/04/27 00:00,20.6000
2017/04/28 00:00,14.5000
2017/04/29 00:00,16.0000
2017/04/30 00:00,11.9000
2017/05/01 00:00,10.0000
2017/05/02 00:00,11.8000
2017/05/03 00:00,11.9000
2017/05/04 00:00,13.8000
2017/05/05 00:00,17.8000
2017/05/06 00:00,14.4000
2017/05/07 00:00,10.7000
2017/05/08 00:00,12.9000
2017/05/09 00:00,11.3000
2017/05/10 00:00,9.0000
2017/05/11 00:00,6.7000
2017/05/12 00:00,11.9000
2017/05/13 00:00,17.8000
2017/05/14 00:00,10.7000
2017/05/15 00:00,9.1000
2017/05/16 00:00,17.2000
2017/05/17 00:00,14.0000
2017/05/18 00:00,10.9000
2017/05/19 00:00,13.1000
2017/05/20 00:00,9.4000
2017/05/21 00:00,12.0000
2017/05/22 00:00,17.4000
2017/05/23 00:00,18.0000
2017/05/24 00:00,16.3000
2017/05/25 00:00,9.7000
2017/05/26 00:00,10.6000
2017/05/27 00:00,11.6000
2017/05/28 00:00,10.4000
2017/05/29 00:00,12.4000
2017/05/30 00:00,14.8000
2017/05/31 00:00,20.7000
2017/06/01 00:00,19.5000
2017/06/02 00:00,14.2000
2017/06/03 00:00,10.2000
2017/06/04 00:00,6.7000
2017/06/05 00:00,8.0000
2017/06/06 00:00,11.9000
2017/06/07 00:00,15.0000
2017/06/08 00:00,10.9000
2017/06/09 00:00,16.1000
2017/06/10 00:00,12.9000
2017/06/11 00:00,10.1000
2017/06/12 00:00,14.5000
2017/06/13 00:00,16.9000
2017/06/14 00:00,9.2000
2017/06/15 00:00,9.7000
2017/06/16 00:00,10.2000
2017/06/17 00:00,9.0000
2017/06/18 00:00,7.8000
2017/06/19 00:00,11.6000
2017/06/20 00:00,17.0000
2017/06/21 00:00,19.8000
2017/06/22 00:00,20.4000
2017/06/23 00:00,16.8000
2017/06/24 00:00,11.7000
2017/06/25 00:00,6.1000
2017/06/26 00:00,10.0000
2017/06/27 00:00,11.4000
2017/06/28 00:00,10.1000
2017/06/29 00:00,13.8000
2017/06/30 00:00,9.1000
2017/07/01 00:00,14.3000
2017/07/02 00:00,8.9000
2017/07/03 00:00,12.8000
2017/07/04 00:00,10.8000
2017/07/05 00:00,12.1000
2017/07/06 00:00,15.9000
2017/07/07 00:00,15.8000
2017/07/08 00:00,14.8000
2017/07/09 00:00,8.9000
2017/07/10 00:00,12.7000
2017/07/11 00:00,12.7000
2017/07/12 00:00,15.1000
2017/07/13 00:00,9.3000
2017/07/14 00:00,9.0000
2017/07/15 00:00,8.0000
2017/07/16 00:00,6.5000
2017/07/17 00:00,8.4000
2017/07/18 00:00,12.1000
2017/07/19 00:00,19.7000
2017/07/20 00:00,21.7000
2017/07/21 00:00,10.6000
2017/07/22 00:00,13.2000
2017/07/23 00:00,13.2000
2017/07/24 00:00,10.3000
2017/07/25 00:00,11.5000
2017/07/26 00:00,23.0000
2017/07/27 00:00,17.1000
2017/07/28 00:00,19.2000
2017/07/29 00:00,11.2000
2017/07/30 00:00,11.8000
2017/07/31 00:00,11.5000
2017/08/01 00:00,12.6000
2017/08/02 00:00,20.4000
2017/08/03 00:00,14.7000
2017/08/04 00:00,23.9000
2017/08/05 00:00,14.2000
2017/08/06 00:00,6.9000
2017/08/07 00:00,9.7000
2017/08/08 00:00,13.0000
2017/08/09 00:00,12.3000
2017/08/10 00:00,10.3000
2017/08/11 00:00,12.2000
2017/08/12 00:00,7.2000
2017/08/13 00:00,7.1000
2017/08/14 00:00,7.4000
2017/08/15 00:00,10.1000
2017/08/16 00:00,6.7000
2017/08/17 00:00,8.8000
2017/08/18 00:00,9.2000
2017/08/19 00:00,6.7000
2017/08/20 00:00,4.6000
