WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2016-08-01;2016;31;Industrial;338383;2.955231202513129;0.6797031765780196;2016-08-01
2016-08-08;2016;32;Agricultural;60892;2.9560533403402744;1.149576299021218;2016-08-08
2016-08-08;2016;32;Industrial;338383;2.6597080822618158;0.6797031765780196;2016-08-08
2016-08-15;2016;33;Agricultural;60892;2.627602969191355;0.8211259278722985;2016-08-15
2016-08-15;2016;33;Industrial;338383;2.6301557702366845;0.7388078006282822;2016-08-15
2016-08-22;2016;34;Agricultural;60892;3.284503711489194;1.8064770413190567;2016-08-22
2016-08-22;2016;34;Industrial;338383;2.837021954412603;0.8570170487288072;2016-08-22
2016-08-29;2016;35;Agricultural;60892;3.6129540826381135;1.149576299021218;2016-08-29
2016-08-29;2016;35;Industrial;338383;2.7188127063120784;1.034330920879595;2016-08-29
2016-09-05;2016;36;Agricultural;60892;4.105629639361493;0.4926755567233791;2016-09-05
2016-09-05;2016;36;Industrial;338383;3.2803066347895724;0.7388078006282822;2016-09-05
2016-09-12;2016;37;Agricultural;60892;2.791828154765815;1.9707022268935164;2016-09-12
2016-09-12;2016;37;Industrial;338383;3.8122482512419356;0.9456739848042012;2016-09-12
2016-09-19;2016;38;Agricultural;60892;2.9560533403402744;0.9853511134467582;2016-09-19
2016-09-19;2016;38;Industrial;338383;3.3689635708649663;1.1525401689801202;2016-09-19
2016-09-26;2016;39;Agricultural;60892;3.284503711489194;1.642251855744597;2016-09-26
2016-09-26;2016;39;Industrial;338383;3.398515882890098;1.0934355449298576;2016-09-26
2016-10-03;2016;40;Agricultural;60892;3.777179268212573;0.9853511134467582;2016-10-03
2016-10-03;2016;40;Industrial;338383;3.516725130990623;0.9752262968293324;2016-10-03
2016-10-10;2016;41;Agricultural;60892;3.284503711489194;0.8211259278722985;2016-10-10
2016-10-10;2016;41;Industrial;338383;3.428068194915229;1.1820924810052513;2016-10-10
2016-10-17;2016;42;Agricultural;60892;3.284503711489194;1.9707022268935164;2016-10-17
2016-10-17;2016;42;Industrial;338383;3.605382067066017;1.0934355449298576;2016-10-17
2016-10-24;2016;43;Agricultural;60892;3.777179268212573;1.3138014845956776;2016-10-24
2016-10-24;2016;43;Industrial;338383;3.1916496987141794;1.3298540411309079;2016-10-24
2016-10-31;2016;44;Agricultural;60892;4.434080010510412;1.9707022268935164;2016-10-31
2016-10-31;2016;44;Industrial;338383;3.6940390031414108;1.2116447930303829;2016-10-31
2016-11-07;2016;45;Agricultural;60892;2.299152598042436;2.627602969191355;2016-11-07
2016-11-07;2016;45;Industrial;338383;3.8122482512419356;1.122987856954989;2016-11-07
2016-11-14;2016;46;Agricultural;60892;2.299152598042436;0.9853511134467582;2016-11-14
2016-11-14;2016;46;Industrial;338383;4.757922236046137;1.3298540411309079;2016-11-14
2016-11-21;2016;47;Agricultural;60892;2.4633777836168957;1.3138014845956776;2016-11-21
2016-11-21;2016;47;Industrial;338383;4.639712987945612;1.5662725373319581;2016-11-21
2016-11-28;2016;48;Agricultural;60892;1.642251855744597;0.9853511134467582;2016-11-28
2016-11-28;2016;48;Industrial;338383;4.13732368351838;1.034330920879595;2016-11-28
2016-12-05;2016;49;Agricultural;60892;2.627602969191355;1.642251855744597;2016-12-05
2016-12-05;2016;49;Industrial;338383;3.2507543227644415;1.1525401689801202;2016-12-05
2016-12-12;2016;50;Agricultural;60892;2.134927412467976;1.149576299021218;2016-12-12
2016-12-12;2016;50;Industrial;338383;3.6940390031414108;1.4185109772063016;2016-12-12
2016-12-19;2016;51;Agricultural;60892;2.9560533403402744;1.642251855744597;2016-12-19
2016-12-19;2016;51;Industrial;338383;4.3737421797194305;1.5958248493570897;2016-12-19
2016-12-26;2016;52;Agricultural;60892;2.791828154765815;2.134927412467976;2016-12-26
2016-12-26;2016;52;Industrial;338383;4.255532931618905;3.398515882890098;2016-12-26
2017-01-02;2017;1;Agricultural;60562;3.6326409299560782;1.8163204649780391;2017-01-02
2017-01-02;2017;1;Industrial;338533;4.16502970168344;2.628990379076781;2017-01-02
2017-01-09;2017;2;Agricultural;60562;4.458241141309732;1.8163204649780391;2017-01-09
2017-01-09;2017;2;Industrial;338533;5.110284669441384;2.510833508107038;2017-01-09
2017-01-16;2017;3;Agricultural;60562;4.12800105676827;2.641920676331693;2017-01-16
2017-01-16;2017;3;Industrial;338533;4.342265008138054;1.9200491532583235;2017-01-16
2017-01-23;2017;4;Agricultural;60562;2.972160760873155;2.972160760873155;2017-01-23
2017-01-23;2017;4;Industrial;338533;4.312725790395619;1.979127588743195;2017-01-23
2017-01-30;2017;5;Agricultural;60562;4.788481225851194;2.972160760873155;2017-01-30
2017-01-30;2017;5;Industrial;338533;3.840098306516647;2.422215854879731;2017-01-30
2017-02-06;2017;6;Agricultural;60562;3.7977609722268086;1.4860803804365774;2017-02-06
2017-02-06;2017;6;Industrial;338533;3.810559088774211;2.0086668064856306;2017-02-06
2017-02-13;2017;7;Agricultural;60562;3.467520887685347;0.8256002113536541;2017-02-13
