WeekStart;Year;Week;Area;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2016-01-04;2016;1;Agricultural;37.1480823985026;32.85388293459728;2016-01-04
2016-01-04;2016;1;Industrial;47.82116515264875;40.0349612433626;2016-01-04
2016-01-11;2016;2;Agricultural;36.55266734199589;16.801125965574887;2016-01-11
2016-01-11;2016;2;Industrial;45.876633726517866;23.11125770729814;2016-01-11
2016-01-18;2016;3;Agricultural;57.15480880262461;41.48148055510395;2016-01-18
2016-01-18;2016;3;Industrial;59.58305322595511;49.893645451953056;2016-01-18
2016-01-25;2016;4;Agricultural;54.37604874042763;43.966790060154324;2016-01-25
2016-01-25;2016;4;Industrial;63.970612070573296;67.89817690404719;2016-01-25
2016-02-01;2016;5;Agricultural;38.445138880204105;26.66542022569336;2016-02-01
2016-02-01;2016;5;Industrial;44.206430793449826;36.04358796499635;2016-02-01
2016-02-08;2016;6;Agricultural;33.553971102579176;21.248237682536903;2016-02-08
2016-02-08;2016;6;Industrial;45.765686323296954;23.990200172309418;2016-02-08
2016-02-15;2016;7;Agricultural;33.98028851565138;22.382321798543455;2016-02-15
2016-02-15;2016;7;Industrial;44.12110777387223;23.14944531685763;2016-02-15
2016-02-22;2016;8;Agricultural;27.06803545895291;21.583186386696845;2016-02-22
2016-02-22;2016;8;Industrial;38.37952391193439;25.712782009546686;2016-02-22
2016-02-29;2016;9;Agricultural;22.98995843807189;18.84574563433007;2016-02-29
2016-02-29;2016;9;Industrial;32.862870825488464;15.920484526120974;2016-02-29
2016-03-07;2016;10;Agricultural;24.56715628035334;30.019338594231353;2016-03-07
2016-03-07;2016;10;Industrial;37.772566497285325;29.551666213031044;2016-03-07
2016-03-14;2016;11;Agricultural;23.682476665707863;29.278333604298762;2016-03-14
2016-03-14;2016;11;Industrial;37.178625064313124;26.2771329997633;2016-03-14
2016-03-21;2016;12;Agricultural;19.614388264278833;32.59559660334413;2016-03-21
2016-03-21;2016;12;Industrial;31.536862055968975;27.668294850752435;2016-03-21
2016-03-28;2016;13;Agricultural;19.806242626613805;26.273016428842393;2016-03-28
2016-03-28;2016;13;Industrial;32.170234911134294;26.807462616169307;2016-03-28
2016-04-04;2016;14;Agricultural;15.853846875351733;32.66619977238904;2016-04-04
2016-04-04;2016;14;Industrial;28.675813114815107;34.13283143491511;2016-04-04
2016-04-11;2016;15;Agricultural;14.334680865255146;17.462640120392024;2016-04-11
2016-04-11;2016;15;Industrial;27.55344776778818;14.17876993923302;2016-04-11
2016-04-18;2016;16;Agricultural;14.160844244902723;17.16559531104747;2016-04-18
2016-04-18;2016;16;Industrial;27.612169536543053;17.522421211280683;2016-04-18
2016-04-25;2016;17;Agricultural;12.62847950876052;14.527573858922892;2016-04-25
2016-04-25;2016;17;Industrial;25.801165490170966;14.134339034141236;2016-04-25
2016-05-02;2016;18;Agricultural;15.24444291592151;14.446471821679735;2016-05-02
2016-05-02;2016;18;Industrial;28.491160120105985;13.372018716039532;2016-05-02
2016-05-09;2016;19;Agricultural;15.025761308637962;19.30416077837946;2016-05-09
2016-05-09;2016;19;Industrial;27.598497247246705;14.040095042793922;2016-05-09
2016-05-16;2016;20;Agricultural;12.010315237011374;12.33544269498047;2016-05-16
2016-05-16;2016;20;Industrial;26.88863731463864;9.981011779092574;2016-05-16
2016-05-23;2016;21;Agricultural;13.882770350545892;16.501438201123047;2016-05-23
2016-05-23;2016;21;Industrial;31.53878199483418;17.602828955425;2016-05-23
2016-05-30;2016;22;Agricultural;13.33551022790277;16.916448852148758;2016-05-30
2016-05-30;2016;22;Industrial;27.24843616870745;13.63380051312031;2016-05-30
2016-06-06;2016;23;Agricultural;17.502950396651702;17.371774990307774;2016-06-06
2016-06-06;2016;23;Industrial;29.843397957298247;12.149052406381939;2016-06-06
2016-06-13;2016;24;Agricultural;10.940169582671553;12.615024824601992;2016-06-13
2016-06-13;2016;24;Industrial;22.682590257983804;12.210538568620214;2016-06-13
2016-06-20;2016;25;Agricultural;13.955206288065432;16.98365036288524;2016-06-20
2016-06-20;2016;25;Industrial;27.21088591359691;15.684823053978889;2016-06-20
2016-06-27;2016;26;Agricultural;11.126548567426621;11.266275642709155;2016-06-27
2016-06-27;2016;26;Industrial;24.353652444721;12.133123954167946;2016-06-27
2016-07-04;2016;27;Agricultural;12.963971185953152;14.642194319730871;2016-07-04
2016-07-04;2016;27;Industrial;23.63569124333231;13.588754279067697;2016-07-04
2016-07-11;2016;28;Agricultural;13.735631120171083;10.83267676325542;2016-07-11
2016-07-11;2016;28;Industrial;23.705580497100986;9.628465065801688;2016-07-11
2016-07-18;2016;29;Agricultural;15.110277927156156;17.75521816885732;2016-07-18
2016-07-18;2016;29;Industrial;27.8444308618197;15.934610696252076;2016-07-18
2016-07-25;2016;30;Agricultural;16.830394609038574;14.650727646394285;2016-07-25
2016-07-25;2016;30;Industrial;26.142220221128976;9.659845544641856;2016-07-25
2016-08-01;2016;31;Agricultural;14.958298837349876;7.456166130988857;2016-08-01
2016-08-01;2016;31;Industrial;29.693268465602376;7.110480540762515;2016-08-01
2016-08-08;2016;32;Agricultural;15.22190713806314;10.658889958854942;2016-08-08
2016-08-08;2016;32;Industrial;30.944544364482454;8.869347746974308;2016-08-08
2016-08-15;2016;33;Agricultural;12.614226935631121;16.73808481634797;2016-08-15
2016-08-15;2016;33;Industrial;29.417234966089836;9.451795553274636;2016-08-15
2016-08-22;2016;34;Agricultural;16.421614286964896;14.076397660526172;2016-08-22
2016-08-22;2016;34;Industrial;32.99120758957645;14.457280721985981;2016-08-22
2016-08-29;2016;35;Agricultural;18.754512616567244;22.755666303989862;2016-08-29
2016-08-29;2016;35;Industrial;40.21830374316464;13.878910010952163;2016-08-29
2016-09-05;2016;36;Agricultural;20.84362209910665;20.069275438442908;2016-09-05
2016-09-05;2016;36;Industrial;38.17092228810636;12.787822285034048;2016-09-05
2016-09-12;2016;37;Agricultural;20.179785145258315;25.633552606895865;2016-09-12
2016-09-12;2016;37;Industrial;37.68734469110011;18.326150312489318;2016-09-12
2016-09-19;2016;38;Agricultural;20.017018504854445;20.351214967296556;2016-09-19
2016-09-19;2016;38;Industrial;30.943479135718118;13.245308116673641;2016-09-19
2016-09-26;2016;39;Agricultural;20.64630549059333;29.71689531980174;2016-09-26
2016-09-26;2016;39;Industrial;40.10403226539285;28.081452764847835;2016-09-26
2016-10-03;2016;40;Agricultural;18.41326771801253;19.86272891367875;2016-10-03
2016-10-03;2016;40;Industrial;35.0804745995061;14.803789682118984;2016-10-03
2016-10-10;2016;41;Agricultural;25.887425119745874;20.05411596486621;2016-10-10
2016-10-10;2016;41;Industrial;32.10148042436062;14.116152644854367;2016-10-10
2016-10-17;2016;42;Agricultural;24.606231996431593;35.48185990670452;2016-10-17
2016-10-17;2016;42;Industrial;31.911801420968523;27.37725074308977;2016-10-17
2016-10-24;2016;43;Agricultural;29.5432933971978;32.50357257496363;2016-10-24
2016-10-24;2016;43;Industrial;38.90337054876352;23.95362012047812;2016-10-24
2016-10-31;2016;44;Agricultural;26.025474293718187;32.51249984367379;2016-10-31
2016-10-31;2016;44;Industrial;39.80614545736207;31.813231649717714;2016-10-31
2016-11-07;2016;45;Agricultural;38.12371968834807;22.997961506234287;2016-11-07
2016-11-07;2016;45;Industrial;40.22178169322779;24.53703938494798;2016-11-07
2016-11-14;2016;46;Agricultural;46.53552210869465;36.98420271549047;2016-11-14
2016-11-14;2016;46;Industrial;47.26485774953169;50.463437040639846;2016-11-14
2016-11-21;2016;47;Agricultural;37.17598454246445;21.634307141398097;2016-11-21
2016-11-21;2016;47;Industrial;35.27771245617079;21.490796677915963;2016-11-21
2016-11-28;2016;48;Agricultural;38.012083182218;30.34878461583355;2016-11-28
2016-11-28;2016;48;Industrial;47.22376766528528;34.801758490739125;2016-11-28
2016-12-05;2016;49;Agricultural;43.678597899809496;42.95693108723837;2016-12-05
2016-12-05;2016;49;Industrial;52.08387721288002;55.706596265879234;2016-12-05
2016-12-12;2016;50;Agricultural;44.153151327939035;40.7091686363769;2016-12-12
2016-12-12;2016;50;Industrial;50.98991055228587;46.0470505967436;2016-12-12
2016-12-19;2016;51;Agricultural;46.543287561019326;35.10517210473439;2016-12-19
2016-12-19;2016;51;Industrial;53.959991934084506;40.54603002476461;2016-12-19
2016-12-26;2016;52;Agricultural;40.45098150126248;35.067558522998;2016-12-26
2016-12-26;2016;52;Industrial;43.44740845268372;30.082197397284954;2016-12-26
2017-01-02;2017;1;Agricultural;36.99383198799676;28.5261502418253;2017-01-02
2017-01-02;2017;1;Industrial;40.030643853975576;29.99489401809488;2017-01-02
2017-01-09;2017;2;Agricultural;39.05113326795249;30.38565896346217;2017-01-09
2017-01-09;2017;2;Industrial;49.924527710738055;32.522167681674766;2017-01-09
2017-01-16;2017;3;Agricultural;49.80684319494388;26.792279612073663;2017-01-16
2017-01-16;2017;3;Industrial;50.716198629144046;24.137920797777756;2017-01-16
2017-01-23;2017;4;Agricultural;52.48750031433098;39.71258204038525;2017-01-23
2017-01-23;2017;4;Industrial;57.787358075210555;42.729777624296844;2017-01-23
2017-01-30;2017;5;Agricultural;46.040042623280605;49.9799373014476;2017-01-30
2017-01-30;2017;5;Industrial;51.96560981193248;77.1172129881224;2017-01-30
2017-02-06;2017;6;Agricultural;34.79897067082422;29.254446735568017;2017-02-06
2017-02-06;2017;6;Industrial;38.73059793951841;27.80745181686666;2017-02-06
2017-02-13;2017;7;Agricultural;33.99994090577614;45.693024366937415;2017-02-13
2017-02-13;2017;7;Industrial;45.59777632951781;37.66527149032442;2017-02-13
2017-02-20;2017;8;Agricultural;29.263930939388604;44.120564789901174;2017-02-20
2017-02-20;2017;8;Industrial;46.239765511708185;53.877859754485314;2017-02-20
2017-02-27;2017;9;Agricultural;25.023406551495793;28.08939782566785;2017-02-27
2017-02-27;2017;9;Industrial;35.45449115659859;23.190908937480604;2017-02-27
2017-03-06;2017;10;Agricultural;29.979681226477567;22.948279980888678;2017-03-06
2017-03-06;2017;10;Industrial;37.58219903852271;13.631434136555047;2017-03-06
2017-03-13;2017;11;Agricultural;30.572634764167947;45.88432410457582;2017-03-13
2017-03-13;2017;11;Industrial;47.42758480867605;48.32556725559207;2017-03-13
2017-03-20;2017;12;Agricultural;22.381222076931458;37.06474170375772;2017-03-20
2017-03-20;2017;12;Industrial;32.110167737066384;34.51610143416685;2017-03-20
2017-03-27;2017;13;Agricultural;21.9770039647614;32.88211540557079;2017-03-27
2017-03-27;2017;13;Industrial;35.84463794005502;17.996751800984846;2017-03-27
2017-04-03;2017;14;Agricultural;19.418094777076472;19.877174122597463;2017-04-03
2017-04-03;2017;14;Industrial;30.87741458764187;18.710161202586615;2017-04-03
2017-04-10;2017;15;Agricultural;16.59680262529233;23.42590380633859;2017-04-10
2017-04-10;2017;15;Industrial;30.076793552415833;23.219435187264775;2017-04-10
2017-04-17;2017;16;Agricultural;15.760297273283543;16.16119940319025;2017-04-17
2017-04-17;2017;16;Industrial;26.243177678563317;10.770779537471347;2017-04-17
2017-04-24;2017;17;Agricultural;14.475904225446559;16.26384523180862;2017-04-24
2017-04-24;2017;17;Industrial;23.175899324005908;11.496930741871171;2017-04-24
2017-05-01;2017;18;Agricultural;14.33627211842315;14.29382821602501;2017-05-01
2017-05-01;2017;18;Industrial;23.90510810236544;10.925458462995154;2017-05-01
2017-05-08;2017;19;Agricultural;13.149918693053705;12.553968533373567;2017-05-08
2017-05-08;2017;19;Industrial;26.36137715675698;9.862974555774382;2017-05-08
2017-05-15;2017;20;Agricultural;15.42061445419569;11.28096579240744;2017-05-15
2017-05-15;2017;20;Industrial;24.47359801871111;11.907917495918115;2017-05-15
2017-05-22;2017;21;Agricultural;18.111376057199855;12.157831870646516;2017-05-22
2017-05-22;2017;21;Industrial;29.73430601877516;12.168831483556263;2017-05-22
2017-05-29;2017;22;Agricultural;18.045580296896087;11.930105363743808;2017-05-29
2017-05-29;2017;22;Industrial;30.3397570298669;13.096244232023365;2017-05-29
2017-06-05;2017;23;Agricultural;22.574132027392896;11.633804410692282;2017-06-05
2017-06-05;2017;23;Industrial;24.30241165578091;12.574001685116835;2017-06-05
2017-06-12;2017;24;Agricultural;19.24210421538797;12.361673414304992;2017-06-12
2017-06-12;2017;24;Industrial;28.084349315112952;16.69182138453942;2017-06-12
2017-06-19;2017;25;Agricultural;20.494373894602727;13.078677043780019;2017-06-19
2017-06-19;2017;25;Industrial;35.46190506482766;14.924097473666263;2017-06-19
2017-06-26;2017;26;Agricultural;14.769633112882541;11.158240500917847;2017-06-26
2017-06-26;2017;26;Industrial;20.988200071057058;8.203646412808618;2017-06-26
2017-07-03;2017;27;Agricultural;20.30129944426283;14.482114567354841;2017-07-03
2017-07-03;2017;27;Industrial;31.462545054372498;13.462835903634167;2017-07-03
2017-07-10;2017;28;Agricultural;15.922412427389544;13.662542644236009;2017-07-10
2017-07-10;2017;28;Industrial;22.1704022686329;12.093208079040375;2017-07-10
2017-07-17;2017;29;Agricultural;18.461099236385277;13.034117484346316;2017-07-17
2017-07-17;2017;29;Industrial;30.25408865860978;13.269145701156171;2017-07-17
2017-07-24;2017;30;Agricultural;15.220031475008591;10.5599387264147;2017-07-24
2017-07-24;2017;30;Industrial;32.31775552304183;9.170473325691022;2017-07-24
2017-07-31;2017;31;Agricultural;16.25504375487213;26.358787855927442;2017-07-31
2017-07-31;2017;31;Industrial;27.662246329115344;20.053520851265286;2017-07-31
2017-08-07;2017;32;Agricultural;11.783238614931978;9.90406828107057;2017-08-07
2017-08-07;2017;32;Industrial;18.738026950617943;8.722340001531924;2017-08-07
2017-08-14;2017;33;Agricultural;16.01913185974971;8.908682659826825;2017-08-14
2017-08-14;2017;33;Industrial;15.282113224791729;7.769832687025683;2017-08-14
2017-08-21;2017;34;Agricultural;17.305068691796382;12.901995792155974;2017-08-21
2017-08-21;2017;34;Industrial;22.414004125809942;14.169469352640773;2017-08-21
2017-08-28;2017;35;Agricultural;15.378032246167257;16.13991919598327;2017-08-28
2017-08-28;2017;35;Industrial;21.953412015393674;10.829787620752642;2017-08-28
2017-09-04;2017;36;Agricultural;17.265885868517447;15.500310139898241;2017-09-04
2017-09-04;2017;36;Industrial;24.00618650790045;9.762401555465832;2017-09-04
2017-09-11;2017;37;Agricultural;15.257019429845515;15.535921744159731;2017-09-11
2017-09-11;2017;37;Industrial;27.034446315353993;12.95029684280768;2017-09-11
2017-09-18;2017;38;Agricultural;19.440478076462057;15.529050468981819;2017-09-18
2017-09-18;2017;38;Industrial;25.941844904339113;11.181242667642945;2017-09-18
2017-09-25;2017;39;Agricultural;19.415516005733398;19.42952070812483;2017-09-25
2017-09-25;2017;39;Industrial;22.07065239640145;17.647964206629773;2017-09-25
2017-10-02;2017;40;Agricultural;21.664343551185656;26.93220299913664;2017-10-02
2017-10-02;2017;40;Industrial;31.012272358847664;24.714899349537976;2017-10-02
2017-10-09;2017;41;Agricultural;28.266572157819297;43.26195505486123;2017-10-09
2017-10-09;2017;41;Industrial;31.47358862810112;36.801780234626776;2017-10-09
2017-10-16;2017;42;Agricultural;20.694988516441608;49.865709424061826;2017-10-16
2017-10-16;2017;42;Industrial;33.885811870163785;50.97413644253401;2017-10-16
2017-10-23;2017;43;Agricultural;33.634412955465585;24.17120770152807;2017-10-23
2017-10-23;2017;43;Industrial;31.549868120350407;20.279558892323458;2017-10-23
2017-10-30;2017;44;Agricultural;32.083667152831914;32.81173669960855;2017-10-30
2017-10-30;2017;44;Industrial;29.587405028260545;30.680734839033256;2017-10-30
2017-11-06;2017;45;Agricultural;30.33397792139211;16.400046940092707;2017-11-06
2017-11-06;2017;45;Industrial;31.68402652912236;18.496640801378213;2017-11-06
2017-11-13;2017;46;Agricultural;38.139785081432684;24.478497665568604;2017-11-13
2017-11-13;2017;46;Industrial;42.00193732178938;20.923767720448897;2017-11-13
2017-11-20;2017;47;Agricultural;41.395772248346624;30.762935767512428;2017-11-20
2017-11-20;2017;47;Industrial;49.8122367870439;40.845719634467265;2017-11-20
2017-11-27;2017;48;Agricultural;35.35141448940076;19.87552283719332;2017-11-27
2017-11-27;2017;48;Industrial;43.232029553158426;21.220936386623098;2017-11-27
2017-12-04;2017;49;Agricultural;46.230501211222034;31.57949430432268;2017-12-04
2017-12-04;2017;49;Industrial;59.32416654008817;34.863488659215626;2017-12-04
2017-12-11;2017;50;Agricultural;41.98285617890881;25.17256142027309;2017-12-11
2017-12-11;2017;50;Industrial;53.225069423438185;31.385654609902378;2017-12-11
2017-12-18;2017;51;Agricultural;56.197235982933925;39.70761980201339;2017-12-18
2017-12-18;2017;51;Industrial;57.348405392200775;38.715911112034306;2017-12-18
2017-12-25;2017;52;Agricultural;37.93540561269395;24.576998516357783;2017-12-25
2017-12-25;2017;52;Industrial;37.516788982607466;27.29216048509208;2017-12-25
2018-01-01;2018;1;Agricultural;40.00009991930407;24.439342856297877;2018-01-01
2018-01-01;2018;1;Industrial;44.46479112919831;31.947252833766772;2018-01-01
2018-01-08;2018;2;Agricultural;32.930693604742046;26.548749213109073;2018-01-08
2018-01-08;2018;2;Industrial;35.07886077471576;28.43510193947133;2018-01-08
2018-01-15;2018;3;Agricultural;41.19138159034353;27.846580562843542;2018-01-15
2018-01-15;2018;3;Industrial;47.27038118942937;34.484125109656524;2018-01-15
2018-01-22;2018;4;Agricultural;39.164191921112334;30.373537650354262;2018-01-22
2018-01-22;2018;4;Industrial;39.58913409846333;41.67359254664404;2018-01-22
2018-01-29;2018;5;Agricultural;33.08320996573592;20.76682679104825;2018-01-29
2018-01-29;2018;5;Industrial;38.4553793120751;32.94268965171185;2018-01-29
2018-02-05;2018;6;Agricultural;33.023195220773076;32.2858452581636;2018-02-05
2018-02-05;2018;6;Industrial;39.01397854625299;32.487072642363145;2018-02-05
2018-02-12;2018;7;Agricultural;36.64949744603724;33.15233997067907;2018-02-12
2018-02-12;2018;7;Industrial;39.48191662297709;33.88424553717421;2018-02-12
2018-02-19;2018;8;Agricultural;24.039910685239402;23.989234909650133;2018-02-19
2018-02-19;2018;8;Industrial;40.01711805357295;30.997289948281917;2018-02-19
2018-02-26;2018;9;Agricultural;27.281239041619667;32.88560190290294;2018-02-26
2018-02-26;2018;9;Industrial;56.12242936562728;37.12637232866331;2018-02-26
2018-03-05;2018;10;Agricultural;33.82559983269326;34.67524324963772;2018-03-05
2018-03-05;2018;10;Industrial;48.55868782453572;29.151511140410527;2018-03-05
2018-03-12;2018;11;Agricultural;20.549716085529234;24.175369997169305;2018-03-12
2018-03-12;2018;11;Industrial;34.64296052711263;18.64857398938646;2018-03-12
2018-03-19;2018;12;Agricultural;16.845775293526156;23.724930394480566;2018-03-19
2018-03-19;2018;12;Industrial;36.79758184658988;21.287393955438358;2018-03-19
2018-03-26;2018;13;Agricultural;18.043046419170988;30.41120490428449;2018-03-26
2018-03-26;2018;13;Industrial;31.127165835266926;23.3033704997569;2018-03-26
2018-04-02;2018;14;Agricultural;18.8954444824687;24.241842740112638;2018-04-02
2018-04-02;2018;14;Industrial;32.80564279052707;20.757587279670418;2018-04-02
2018-04-09;2018;15;Agricultural;16.499738688839038;21.158789307578235;2018-04-09
2018-04-09;2018;15;Industrial;26.368385830041472;19.601503873232733;2018-04-09
2018-04-16;2018;16;Agricultural;20.263887304544742;21.922098854624807;2018-04-16
2018-04-16;2018;16;Industrial;29.701245412594016;18.11699204590088;2018-04-16
2018-04-23;2018;17;Agricultural;16.087100269972243;26.59249401117913;2018-04-23
2018-04-23;2018;17;Industrial;27.59235432336519;24.35010883463883;2018-04-23
2018-04-30;2018;18;Agricultural;13.694286432521725;24.63424464808548;2018-04-30
2018-04-30;2018;18;Industrial;21.651969491695525;19.957012047942612;2018-04-30
2018-05-07;2018;19;Agricultural;13.371605384235142;17.167190556463915;2018-05-07
2018-05-07;2018;19;Industrial;22.026406761243795;14.066964015357968;2018-05-07
2018-05-14;2018;20;Agricultural;11.521575176073444;12.140167982728537;2018-05-14
2018-05-14;2018;20;Industrial;24.028043173957204;12.028898711114111;2018-05-14
2018-05-21;2018;21;Agricultural;14.855881930449405;24.846762234305487;2018-05-21
2018-05-21;2018;21;Industrial;19.94688925859214;18.51681270233467;2018-05-21
2018-05-28;2018;22;Agricultural;14.587789776544103;28.150314122632462;2018-05-28
2018-05-28;2018;22;Industrial;20.81787431589038;25.637874367798787;2018-05-28
2018-06-04;2018;23;Agricultural;12.826492980299207;23.23077345568695;2018-06-04
2018-06-04;2018;23;Industrial;22.502148532462655;23.148455465177243;2018-06-04
2018-06-11;2018;24;Agricultural;18.05401008065368;20.386637007744273;2018-06-11
2018-06-11;2018;24;Industrial;22.580821095925014;19.764752370916757;2018-06-11
2018-06-18;2018;25;Agricultural;15.620814690883895;8.882431102154287;2018-06-18
2018-06-18;2018;25;Industrial;18.98283631028081;9.668156870684031;2018-06-18
2018-06-25;2018;26;Agricultural;16.211313695915774;8.995734945561935;2018-06-25
2018-06-25;2018;26;Industrial;19.76459007061274;9.796731413760227;2018-06-25
2018-07-02;2018;27;Agricultural;13.299471462793264;13.20399803963818;2018-07-02
2018-07-02;2018;27;Industrial;18.800837672011504;13.968986453634542;2018-07-02
2018-07-09;2018;28;Agricultural;12.359595633125045;11.309460435758014;2018-07-09
2018-07-09;2018;28;Industrial;19.57503010687942;12.938056393299663;2018-07-09
2018-07-16;2018;29;Agricultural;13.92043592701032;13.925728058946051;2018-07-16
2018-07-16;2018;29;Industrial;20.43936565324142;11.772830185088097;2018-07-16
2018-07-23;2018;30;Agricultural;13.2835735199057;12.73061713373132;2018-07-23
2018-07-23;2018;30;Industrial;17.740093798501924;10.686950744107097;2018-07-23
2018-07-30;2018;31;Agricultural;12.69758313581843;13.786971198735904;2018-07-30
2018-07-30;2018;31;Industrial;17.494639894037626;11.148130605027157;2018-07-30
2018-08-06;2018;32;Agricultural;12.356770641891748;17.948730623471107;2018-08-06
2018-08-06;2018;32;Industrial;16.191388221289024;16.321876714059048;2018-08-06
2018-08-13;2018;33;Agricultural;13.844137081680335;9.624132307523311;2018-08-13
2018-08-13;2018;33;Industrial;14.49579827352619;8.21081174375931;2018-08-13
2018-08-20;2018;34;Agricultural;12.790278253081022;10.07999247964646;2018-08-20
2018-08-20;2018;34;Industrial;15.055154332362646;9.520919955497188;2018-08-20
2018-08-27;2018;35;Agricultural;12.99612997536873;11.04555728777182;2018-08-27
2018-08-27;2018;35;Industrial;19.98783184615731;8.478562258085168;2018-08-27
2018-09-03;2018;36;Agricultural;13.796159761038654;23.607682590381554;2018-09-03
2018-09-03;2018;36;Industrial;21.23826549768921;12.053034392784038;2018-09-03
2018-09-10;2018;37;Agricultural;17.103579561538037;40.773489486292256;2018-09-10
2018-09-10;2018;37;Industrial;24.041630676833798;22.463772686139244;2018-09-10
2018-09-17;2018;38;Agricultural;18.46342319733323;29.04023600390383;2018-09-17
2018-09-17;2018;38;Industrial;25.401148733175184;21.02610906649641;2018-09-17
2018-09-24;2018;39;Agricultural;20.39502114571319;17.746933765964908;2018-09-24
2018-09-24;2018;39;Industrial;27.245110270771583;10.652109817438113;2018-09-24
2018-10-01;2018;40;Agricultural;26.020961295528767;17.216269313155127;2018-10-01
2018-10-01;2018;40;Industrial;31.771316362742912;18.165870737670453;2018-10-01
2018-10-08;2018;41;Agricultural;24.234002349054254;26.369883096526696;2018-10-08
2018-10-08;2018;41;Industrial;27.600351376697624;23.78282990824323;2018-10-08
2018-10-15;2018;42;Agricultural;27.830197810647636;25.91230338289162;2018-10-15
2018-10-15;2018;42;Industrial;31.608816860198534;23.953812326863815;2018-10-15
2018-10-22;2018;43;Agricultural;25.81236781288684;14.29791584808886;2018-10-22
2018-10-22;2018;43;Industrial;36.042503689823015;15.707003396540477;2018-10-22
2018-10-29;2018;44;Agricultural;19.95089040140943;26.717642411414037;2018-10-29
2018-10-29;2018;44;Industrial;23.239465749964097;21.870899019104026;2018-10-29
2018-11-05;2018;45;Agricultural;21.460287885893422;20.835779560693055;2018-11-05
2018-11-05;2018;45;Industrial;25.189032574259308;19.00074488572363;2018-11-05
2018-11-12;2018;46;Agricultural;25.658407586262257;22.19757827716305;2018-11-12
2018-11-12;2018;46;Industrial;27.609529303164162;24.732693735173658;2018-11-12
2018-11-19;2018;47;Agricultural;25.05243946749137;28.069992099403862;2018-11-19
2018-11-19;2018;47;Industrial;30.32595918095446;28.803470856021637;2018-11-19
2018-11-26;2018;48;Agricultural;30.573411325314446;34.48268206226684;2018-11-26
2018-11-26;2018;48;Industrial;38.529208301539434;35.99234091369188;2018-11-26
2018-12-03;2018;49;Agricultural;32.643233371780084;36.904926676552975;2018-12-03
2018-12-03;2018;49;Industrial;46.748261111428334;39.59933453414795;2018-12-03
2018-12-10;2018;50;Agricultural;35.997743471445894;24.82982876408482;2018-12-10
2018-12-10;2018;50;Industrial;51.51386300677751;27.711385331720713;2018-12-10
2018-12-17;2018;51;Agricultural;37.986898952642896;38.009032874084774;2018-12-17
2018-12-17;2018;51;Industrial;49.76487599945323;46.797449480137246;2018-12-17
2018-12-24;2018;52;Agricultural;37.06118927208893;35.06511020697872;2018-12-24
2018-12-24;2018;52;Industrial;42.648573167503265;37.9016136595258;2018-12-24
2018-12-31;2018;1;Agricultural;39.27948794392524;26.457143021829047;2018-12-31
2018-12-31;2018;1;Industrial;45.562023692778105;30.447657554334093;2018-12-31
2019-01-07;2019;2;Agricultural;41.56897760450912;30.321052776233252;2019-01-07
2019-01-07;2019;2;Industrial;53.40570200521319;34.80067405159358;2019-01-07
2019-01-14;2019;3;Agricultural;35.24661890033129;22.987257847301358;2019-01-14
2019-01-14;2019;3;Industrial;46.96192584572491;28.537566895621758;2019-01-14
2019-01-21;2019;4;Agricultural;34.229220692731666;36.28039712725451;2019-01-21
2019-01-21;2019;4;Industrial;38.92268439886173;37.99704554191151;2019-01-21
2019-01-28;2019;5;Agricultural;35.21036349067753;24.347575143182727;2019-01-28
2019-01-28;2019;5;Industrial;41.7723588537855;28.51413461596345;2019-01-28
2019-02-04;2019;6;Agricultural;46.57321737770007;37.09149318071785;2019-02-04
2019-02-04;2019;6;Industrial;51.41841791370798;34.56797962537592;2019-02-04
2019-02-11;2019;7;Agricultural;45.40580764782864;34.58322357224253;2019-02-11
2019-02-11;2019;7;Industrial;50.63394126686956;30.457452535605285;2019-02-11
2019-02-18;2019;8;Agricultural;39.52740186512811;33.991970350763324;2019-02-18
2019-02-18;2019;8;Industrial;49.1577349097323;42.06674125551784;2019-02-18
2019-02-25;2019;9;Agricultural;45.55484009412322;36.247056535242294;2019-02-25
2019-02-25;2019;9;Industrial;56.567097458847854;38.991997894771245;2019-02-25
2019-03-04;2019;10;Agricultural;29.59482110880196;21.493047524614322;2019-03-04
2019-03-04;2019;10;Industrial;42.9011691415431;22.133861331815183;2019-03-04
2019-03-11;2019;11;Agricultural;27.41607896033167;17.98656651099267;2019-03-11
2019-03-11;2019;11;Industrial;37.893371539336734;20.379380195886032;2019-03-11
2019-03-18;2019;12;Agricultural;28.66662304412079;23.08217811106624;2019-03-18
2019-03-18;2019;12;Industrial;37.61225680866927;18.726231683520826;2019-03-18
2019-03-25;2019;13;Agricultural;26.942751433941446;22.3480233489853;2019-03-25
2019-03-25;2019;13;Industrial;36.16377265077368;19.437766754757188;2019-03-25
2019-04-01;2019;14;Agricultural;19.369011854197804;19.408152694414554;2019-04-01
2019-04-01;2019;14;Industrial;31.10840805834786;17.62364134056977;2019-04-01
2019-04-08;2019;15;Agricultural;15.121614936246953;22.142988221912614;2019-04-08
2019-04-08;2019;15;Industrial;29.42102678920795;20.044859518119328;2019-04-08
2019-04-15;2019;16;Agricultural;16.26337693473743;20.16904124127637;2019-04-15
2019-04-15;2019;16;Industrial;26.644380552777346;17.304207705584446;2019-04-15
