MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2016-01-01;2016;1;Winter;Agricultural;60892;8.211259278722986;15.601392629573672;42.20311249107357;32.27536802334329;2016-01
2016-02-01;2016;2;Winter;Agricultural;60892;8.539709649871904;14.451816330552454;29.36633162841164;21.85041520657263;2016-02
2016-03-01;2016;3;Spring;Agricultural;60892;5.912106680680549;15.765617815148133;21.7600437474704;27.381569802060973;2016-03
2016-04-01;2016;4;Spring;Agricultural;60892;4.105629639361493;11.49576299021218;14.94924182705993;20.69789846504193;2016-04
2016-05-01;2016;5;Spring;Agricultural;60892;6.240557051829469;13.630690402680154;14.075516355768968;15.241887805591285;2016-05
2016-06-01;2016;6;Summer;Agricultural;60892;3.1202785259147343;12.316888918084477;15.264549913508068;15.034122161641376;2016-06
2016-07-01;2016;7;Summer;Agricultural;60892;4.926755567233792;15.929843000722592;15.772164572707256;14.272914181215604;2016-07
2016-08-01;2016;8;Summer;Agricultural;60892;4.598305196084872;14.123365959403534;14.152499613276175;12.016353649931238;2016-08
2016-09-01;2016;9;Autumn;Agricultural;60892;5.912106680680549;14.451816330552454;21.122159177998203;24.70990880028028;2016-09
2016-10-01;2016;10;Autumn;Agricultural;60892;5.58365630953163;15.108717072850292;23.897508809886567;26.94314788954744;2016-10
2016-11-01;2016;11;Autumn;Agricultural;60892;7.225908165276227;12.152663732510018;35.68803537410497;26.4346630099192;2016-11
2016-12-01;2016;12;Winter;Agricultural;60892;6.733232608552847;10.83886224791434;41.52194604725872;35.02073793262742;2016-12
2017-01-01;2017;1;Winter;Agricultural;60562;10.23744262078531;17.99808460750966;43.13615228755176;34.11241692064969;2017-01
2017-02-01;2017;2;Winter;Agricultural;60562;6.769921733099964;13.374723423929195;30.683800721338702;37.16357793901881;2017-02
2017-03-01;2017;3;Spring;Agricultural;60562;6.935041775370694;11.88864304349262;27.61555308289772;33.812185006887105;2017-03
2017-04-01;2017;4;Spring;Agricultural;60562;4.953601268121925;13.374723423929195;16.815151304998736;19.143086974230265;2017-04
2017-05-01;2017;5;Spring;Agricultural;60562;4.623361183580463;14.860803804365773;16.87956847208566;12.230442596283629;2017-05
2017-06-01;2017;6;Summer;Agricultural;60562;5.614081437204849;15.85152405799016;21.738916812522703;12.695723941305328;2017-06
2017-07-01;2017;7;Summer;Agricultural;60562;4.293121099039001;14.200323635282851;19.25567059510329;12.65146248419375;2017-07
2017-08-01;2017;8;Summer;Agricultural;60562;4.458241141309732;11.88864304349262;17.88121839415965;14.940717111017127;2017-08
2017-09-01;2017;9;Autumn;Agricultural;60562;4.788481225851194;10.567682705326773;19.246502592384665;16.739823101394713;2017-09
2017-10-01;2017;10;Autumn;Agricultural;60562;5.118721310392655;15.686404015719429;27.577128903357902;35.423402410326496;2017-10
2017-11-01;2017;11;Autumn;Agricultural;60562;7.430401902182886;16.51200422707308;35.96233094459672;25.229215239479103;2017-11
2017-12-01;2017;12;Winter;Agricultural;60562;7.100161817641426;21.30048545292428;42.617465279516274;27.862622255411942;2017-12
2018-01-01;2018;1;Winter;Agricultural;60224;11.78931987247609;20.257704569606805;36.07807829265366;25.463238854513044;2018-01
2018-02-01;2018;2;Winter;Agricultural;60224;4.649309245483528;13.11769394261424;29.11951672090861;26.54817372286322;2018-02
2018-03-01;2018;3;Spring;Agricultural;60224;7.306057385759829;14.113974495217851;23.82629564678962;29.875121589078194;2018-03
2018-04-01;2018;4;Spring;Agricultural;60224;7.140010626992561;13.947927736450586;17.341637497786042;22.90100513637974;2018-04
2018-05-01;2018;5;Spring;Agricultural;60224;6.807917109458024;18.59723698193412;14.172707001388366;21.53618105310068;2018-05
2018-06-01;2018;6;Summer;Agricultural;60224;5.811636556854411;15.276301806588735;18.051202178533472;15.522304507616012;2018-06
2018-07-01;2018;7;Summer;Agricultural;60224;5.313496280552603;13.615834218916048;15.309512015357718;12.867512898083714;2018-07
2018-08-01;2018;8;Summer;Agricultural;60224;5.313496280552603;11.78931987247609;15.133551354513044;12.917089639539268;2018-08
2018-09-01;2018;9;Autumn;Agricultural;60224;7.140010626992561;10.793039319872475;18.8376022848034;26.86540249734325;2018-09
2018-10-01;2018;10;Autumn;Agricultural;60224;4.981402763018067;14.280021253985122;24.278121089866648;21.553431704432484;2018-10
2018-11-01;2018;11;Autumn;Agricultural;60224;5.811636556854411;13.781880977683317;23.976082735565;24.2474406659582;2018-11
2018-12-01;2018;12;Winter;Agricultural;60224;5.313496280552603;15.276301806588735;31.489364437283605;33.23767183161359;2018-12
2019-01-01;2019;1;Winter;Agricultural;60103;9.317338568790245;16.138961449511672;34.34658368725086;28.562168814502844;2019-01
