WeekStart;Year;Week;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2016-01-04;2016;1;Agricultural;60892;1.642251855744597;2.627602969191355;32.34438514090521;30.79847927478158;2016-01-04
2016-01-04;2016;1;Industrial;338383;1.4185109772063016;3.2803066347895724;47.919472187263715;40.31402075669961;2016-01-04
2016-01-11;2016;2;Agricultural;60892;1.9707022268935164;2.627602969191355;32.55026135265247;15.255689229643115;2016-01-11
2016-01-11;2016;2;Industrial;338383;1.4776156012565644;3.8418005632670673;46.202071574855374;23.463900373245703;2016-01-11
2016-01-18;2016;3;Agricultural;60892;1.642251855744597;4.598305196084872;56.71971945646156;41.575020410844495;2016-01-18
2016-01-18;2016;3;Industrial;338383;1.3889586651811705;3.6644866911162794;59.61480887464374;50.5220369479892;2016-01-18
2016-01-25;2016;4;Agricultural;60892;2.299152598042436;3.777179268212573;53.05478036054467;44.86363444412121;2016-01-25
2016-01-25;2016;4;Industrial;338383;1.448063289231433;4.225980619593774;63.50141699114401;68.6123217942813;2016-01-25
2016-02-01;2016;5;Agricultural;60892;2.134927412467976;3.4487288970636536;35.42379036420454;26.021119358864873;2016-02-01
2016-02-01;2016;5;Industrial;338383;1.0934355449298576;3.9009051873173295;44.3159681696269;36.34807177496675;2016-02-01
2016-02-08;2016;6;Agricultural;60892;0.9853511134467582;2.9560533403402744;29.210311464794813;20.832082093824194;2016-02-08
2016-02-08;2016;6;Industrial;338383;1.654929473407352;3.989562123392724;45.98486448787321;24.328118053887373;2016-02-08
2016-02-15;2016;7;Agricultural;60892;3.1202785259147343;3.4487288970636536;29.72935337506217;21.37894492356491;2016-02-15
2016-02-15;2016;7;Industrial;338383;1.6253771613822208;4.0486667474429865;44.34097398509972;23.354602413748413;2016-02-15
2016-02-22;2016;8;Agricultural;60892;1.4780266701701372;4.269854824935952;24.76153048488659;21.567071911862687;2016-02-22
2016-02-22;2016;8;Industrial;338383;1.3298540411309079;4.107771371493248;38.80402637586066;25.921813025899223;2016-02-22
2016-02-29;2016;9;Agricultural;60892;1.3138014845956776;2.9560533403402744;21.69039212282167;19.3266673548484;2016-02-29
2016-02-29;2016;9;Industrial;338383;1.3889586651811705;3.7235913151665416;33.63868845150529;16.014799797862185;2016-02-29
2016-03-07;2016;10;Agricultural;60892;1.4780266701701372;3.4487288970636536;22.79167472152101;28.34805885830651;2016-03-07
2016-03-07;2016;10;Industrial;338383;0.9752262968293324;3.2212020107393102;38.59469953953276;30.097972669177487;2016-03-07
2016-03-14;2016;11;Agricultural;60892;1.149576299021218;3.6129540826381135;22.442260536218694;28.373957170071602;2016-03-14
2016-03-14;2016;11;Industrial;338383;1.6253771613822208;3.6644866911162794;37.85461849864968;26.456088852825683;2016-03-14
2016-03-21;2016;12;Agricultural;60892;2.134927412467976;3.4487288970636536;19.841028378112068;32.308766809620785;2016-03-21
2016-03-21;2016;12;Industrial;338383;1.6253771613822208;3.487172818965492;32.55116446663776;27.724515880357043;2016-03-21
2016-03-28;2016;13;Agricultural;60892;0.9853511134467582;3.9414044537870327;20.535518857743455;25.560261258809508;2016-03-28
2016-03-28;2016;13;Industrial;338383;1.1820924810052513;3.516725130990623;32.81775422693052;26.985147430152058;2016-03-28
2016-04-04;2016;14;Agricultural;60892;1.149576299021218;2.627602969191355;16.028530137667627;31.88852159795798;2016-04-04
2016-04-04;2016;14;Industrial;338383;1.3889586651811705;2.9847835145382597;29.52460656373737;34.32315242111538;2016-04-04
2016-04-11;2016;15;Agricultural;60892;0.6569007422978388;2.627602969191355;13.660406950009854;16.368277324724804;2016-04-11
2016-04-11;2016;15;Industrial;338383;1.4185109772063016;3.2212020107393102;28.43644108261096;14.304322954420627;2016-04-11
2016-04-18;2016;16;Agricultural;60892;1.4780266701701372;2.299152598042436;14.3765378515592;16.15200213961956;2016-04-18
2016-04-18;2016;16;Industrial;338383;1.1820924810052513;3.398515882890098;28.173584117067687;17.694792587098053;2016-04-18
2016-04-25;2016;17;Agricultural;60892;0.6569007422978388;2.627602969191355;12.824041628738469;13.963553739172868;2016-04-25
2016-04-25;2016;17;Industrial;338383;1.0934355449298576;3.1325450746639163;26.620335241427615;14.331793094975643;2016-04-25
2016-05-02;2016;18;Agricultural;60892;1.4780266701701372;3.1202785259147343;15.708960595339759;14.260118617505467;2016-05-02
2016-05-02;2016;18;Industrial;338383;1.2116447930303829;4.225980619593774;29.35978622701833;13.576449087065754;2016-05-02
2016-05-09;2016;19;Agricultural;60892;1.4780266701701372;2.9560533403402744;14.553571897786243;20.34002120850968;2016-05-09
2016-05-09;2016;19;Industrial;338383;1.0934355449298576;3.516725130990623;28.07547960236098;13.940537792974236;2016-05-09
2016-05-16;2016;20;Agricultural;60892;1.4780266701701372;3.1202785259147343;13.120541286211653;13.207446908343579;2016-05-16
2016-05-16;2016;20;Industrial;338383;1.0934355449298576;3.0734404506136537;27.22610009536953;10.125484605145227;2016-05-16
2016-05-23;2016;21;Agricultural;60892;1.149576299021218;2.9560533403402744;13.8640201386999;14.612923583675078;2016-05-23
2016-05-23;2016;21;Industrial;338383;0.7683601126534134;3.1620973866890476;32.02345735875789;18.04273348754011;2016-05-23
2016-05-30;2016;22;Agricultural;60892;1.149576299021218;4.434080010510412;14.984552275222642;16.828044500333142;2016-05-30
2016-05-30;2016;22;Industrial;338383;1.3298540411309079;3.309858946814704;27.140109200014695;14.131585468874873;2016-05-30
2016-06-06;2016;23;Agricultural;60892;1.149576299021218;2.4633777836168957;19.418423954354783;17.761976708176537;2016-06-06
2016-06-06;2016;23;Industrial;338383;1.0047786088544637;2.600603458211553;29.942201757011606;12.136455267720729;2016-06-06
2016-06-13;2016;24;Agricultural;60892;0.3284503711489194;3.1202785259147343;11.669801099839528;12.201846829515489;2016-06-13
2016-06-13;2016;24;Industrial;338383;0.9161216727790699;3.6349343790911486;22.697596299375054;12.251252068134121;2016-06-13
2016-06-20;2016;25;Agricultural;60892;0.4926755567233791;3.1202785259147343;16.386933540413473;16.328138343296327;2016-06-20
2016-06-20;2016;25;Industrial;338383;1.034330920879595;4.432846803769693;27.35223122066669;15.857757967408867;2016-06-20
2016-06-27;2016;26;Agricultural;60892;0.9853511134467582;1.3138014845956776;11.836391831908484;11.13812980358668;2016-06-27
2016-06-27;2016;26;Industrial;338383;1.2116447930303829;3.487172818965492;24.62342793309863;12.307449166856998;2016-06-27
2016-07-04;2016;27;Agricultural;60892;0.8211259278722985;3.284503711489194;14.774319638516904;14.778915363031503;2016-07-04
2016-07-04;2016;27;Industrial;338383;1.0638832329047263;3.398515882890098;23.90191549643029;13.726834048147472;2016-07-04
2016-07-11;2016;28;Agricultural;60892;1.4780266701701372;3.284503711489194;14.529009675209505;10.68486594532709;2016-07-11
2016-07-11;2016;28;Industrial;338383;0.827464736703676;4.0486667474429865;23.806104114483965;9.636620971756011;2016-07-11
2016-07-18;2016;29;Agricultural;60892;0.6569007422978388;4.762530381659332;17.06310634284588;16.880296262234776;2016-07-18
2016-07-18;2016;29;Industrial;338383;1.2116447930303829;3.014335826563391;28.30029463655089;16.23676299172409;2016-07-18
2016-07-25;2016;30;Agricultural;60892;1.4780266701701372;3.9414044537870327;18.471681478214354;14.518017848931597;2016-07-25
2016-07-25;2016;30;Industrial;338383;0.8865693607539386;2.7483650183372093;26.57853252506353;9.713555350002808;2016-07-25
2016-08-01;2016;31;Agricultural;60892;0.8211259278722985;3.6129540826381135;13.936261155582248;7.3064817334672165;2016-08-01
2016-08-01;2016;31;Industrial;338383;0.6797031765780196;2.955231202513129;30.485723531366187;7.101884973113728;2016-08-01
2016-08-08;2016;32;Agricultural;60892;1.149576299021218;2.9560533403402744;13.924142275316484;10.653975187920533;2016-08-08
2016-08-08;2016;32;Industrial;338383;0.6797031765780196;2.6597080822618158;31.82050824910573;8.961686271811189;2016-08-08
2016-08-15;2016;33;Agricultural;60892;0.8211259278722985;2.627602969191355;11.339944726494684;15.037769446608047;2016-08-15
2016-08-15;2016;33;Industrial;338383;0.7388078006282822;2.6301557702366845;30.074110697050383;9.428256907536305;2016-08-15
2016-08-22;2016;34;Agricultural;60892;1.8064770413190567;3.284503711489194;15.98072535918394;12.210356040202326;2016-08-22
2016-08-22;2016;34;Industrial;338383;0.8570170487288072;2.837021954412603;34.00378763539708;14.918918588024306;2016-08-22
