Area;n_municipalities;mean_index_median;median_index_median;min_index_median;max_index_median;mean_avg_stdeff;median_avg_stdeff;min_avg_stdeff;max_avg_stdeff
Agricultural;21;-0.10901010864369416;-0.1090910447139783;-0.1592391348063503;-0.0562961967069789;-2.6560447511503104e-05;-2.6497286664492536e-05;-3.401910148056774e-05;-1.8368356289992034e-05
Industrial;16;-0.058633433618532495;-0.0815650538201391;-0.1136598698583201;0.0660997714767916;-1.4932003186950494e-05;-2.0784782524336185e-05;-3.4543179989123755e-05;1.2555065550026242e-05
