BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
17042;CASTEL MELLA;Industrial;BS;0.0188537708652836;-0.0236730810572318;0.148040799294567;0.1717138803517989;-0.0024810320235179;0.0430500739165539;3.0000149102800315e-05;0.1538269093073808;9.116687054755524e-05;0.148040799294567;8.773765177783501e-05;-0.0236730810572318;-1.402991353945052e-05;0.0188537708652836;1.1173764605251166e-05;-0.0995315949230025;-5.8987398050445045e-05
17173;SAN ZENO NAVIGLIO;Industrial;BS;0.0670532096571253;-0.0308132870785826;0.0695210146095451;0.1003343016881277;0.0103553144564089;0.1063456228473704;1.639862227694236e-05;0.0670532096571253;3.943632806143072e-05;0.122569261673345;7.208748491839944e-05;-0.0308132870785826;-1.81222640811914e-05;0.0695210146095451;4.088773598422416e-05;-0.0748047447363739;-4.399491240601611e-05
17186;TORBOLE CASAGLIA;Industrial;BS;-0.0043130100524263;-0.0548417101024534;0.1104720972061345;0.165313807308588;-0.0285484117305263;0.0215785428172152;1.387564275930003e-05;0.1104720972061345;6.492350482868903e-05;0.1122739374946989;6.598243784387818e-05;-0.0548417101024534;-3.222969303422494e-05;-0.0043130100524263;-2.534702117782065e-06;-0.1097523205962844;-6.449967176738797e-05
17165;RONCADELLE;Industrial;BS;0.002477217880912;-0.0302076901594063;0.0744220269777708;0.1046297171371771;-0.0443486744047209;0.0503700618783859;-2.240089149159359e-06;0.1337863350252623;7.872138161659274e-05;0.0744220269777708;4.3790604800409575e-05;0.002477217880912;1.457611663598703e-06;-0.0302076901594063;-1.777437423011173e-05;-0.1635418315707061;-9.622818301520666e-05
17072;FLERO;Industrial;BS;-0.0176410190939024;-0.0985736281000574;0.0143501520631985;0.1129237801632559;-0.0512103242081854;0.0125111612646797;-1.486116679076815e-05;0.0143501520631985;8.489729244015612e-06;0.0681521288816656;4.031977797140456e-05;-0.0989635694309406;-5.854769547055601e-05;-0.0176410190939024;-1.0436627737063634e-05;-0.0985736281000574;-5.831700417231758e-05
17048;CELLATICA;Industrial;BS;-0.0737973786718689;-0.0892390901478221;0.0207035164253978;0.10994260657322;-0.1036980183844635;-0.0474691236669201;-2.3767177280478195e-05;0.0228923840497945;1.3562493510953103e-05;0.0207035164253978;1.2265706817974305e-05;-0.0737973786718689;-4.372068853161166e-05;-0.0892390901478221;-5.2868963660632455e-05;-0.1136269948248844;-6.731728053913342e-05
17029;BRESCIA;Industrial;BS;-0.0669288221152692;-0.1040757957020877;-0.0237886739350879;0.0802871217669997;-0.115510202864122;-0.0243482558006027;-3.5493779706444e-05;-0.0046832750980327;-2.7776772257852592e-06;-0.0237886739350879;-1.410918263451475e-05;-0.0669288221152692;-3.969572179855497e-05;-0.1040757957020877;-6.172758894733076e-05;-0.1106993329934554;-6.565599830098442e-05
19068;PERSICO DOSIMO;Agricultural;CR;-0.0605121627538112;-0.0914417270147012;-0.0521048382316462;0.0393368887830549;-0.0911534722034583;-0.0358255745349287;-3.804690557645072e-05;-0.0521048382316462;-2.759898406149337e-05;-0.0022090648233328;-1.1701044750450612e-06;-0.1431223729493368;-7.580895305217818e-05;-0.0605121627538112;-3.205217664418248e-05;-0.0914417270147012;-4.843491786492972e-05
19026;CASTELVERDE;Agricultural;CR;-0.0739152396798148;-0.0747307584232214;-0.0663310089239459;0.0083997494992754;-0.1005205816183513;-0.0470812566822868;-4.278401084844012e-05;-0.0747307584232214;-3.967085543018274e-05;-0.0322288926965522;-1.710875984587614e-05;-0.1418748823460547;-7.531407686768037e-05;-0.0663310089239459;-3.52118603215179e-05;-0.0739152396798148;-3.923793863467907e-05
17081;GUSSAGO;Industrial;BS;-0.1153537548806151;-0.1448922212251072;-0.0227930495465174;0.1220991716785898;-0.1508345632046118;-0.0724917429696048;-4.610949982697711e-05;-0.0227930495465174;-1.3477518482698134e-05;0.0375946464534155;2.2229773717498877e-05;-0.1527064895689898;-9.029458204942008e-05;-0.1448922212251072;-8.567408353094536e-05;-0.1153537548806151;-6.820824636354143e-05
