Area;n_municipalities;mean_index_median;median_index_median;min_index_median;max_index_median;mean_avg_stdeff;median_avg_stdeff;min_avg_stdeff;max_avg_stdeff
Agricultural;21;-0.11051723420903475;-0.1132354104509737;-0.1690767976804197;-0.0605121627538112;-5.7618661322333636e-05;-5.8192541705857486e-05;-7.321999341535428e-05;-3.804690557645072e-05
Industrial;16;-0.058575363332276496;-0.0812676779994112;-0.1153537548806151;0.0670532096571253;-3.277935522599912e-05;-4.639875772326879e-05;-7.047115732066806e-05;3.0000149102800315e-05
