Indicator;Value
Records after age/date cleaning;197757
Records after excluding COVID years;197757
Records after excluding COVID years and keeping only BS/CR;194649
Respiratory acute events, non-COVID, BS/CR only;18224
Cardiocirculatory acute events, non-COVID, BS/CR only;46002
Selected municipalities used for focused checks;SORESINA, REZZATO, BRESCIA
Selected provinces used for focused checks;BS, CR
