WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel;NO2_mean;PM25_mean;NO2_mean_lag0;NO2_mean_lag0_WeekStart;PM25_mean_lag0;PM25_mean_lag0_WeekStart;NO2_mean_lag1;NO2_mean_lag1_WeekStart;PM25_mean_lag1;PM25_mean_lag1_WeekStart;NO2_mean_lag2;NO2_mean_lag2_WeekStart;PM25_mean_lag2;PM25_mean_lag2_WeekStart;NO2_mean_lag3;NO2_mean_lag3_WeekStart;PM25_mean_lag3;PM25_mean_lag3_WeekStart;NO2_mean_lag4;NO2_mean_lag4_WeekStart;PM25_mean_lag4;PM25_mean_lag4_WeekStart
2016-01-04;2016;1;Agricultural;60892;2.627602969191355;1.642251855744597;2016-01-04;26.048214285714288;39.666666666666664;26.048214285714288;2016-01-04;39.666666666666664;2016-01-04;;;;;;;;;;;;;;;;
2016-01-04;2016;1;Industrial;338383;3.2803066347895724;1.4185109772063016;2016-01-04;33.09804253717297;46.714285714285715;33.09804253717297;2016-01-04;46.714285714285715;2016-01-04;;;;;;;;;;;;;;;;
2016-01-11;2016;2;Agricultural;60892;2.627602969191355;1.9707022268935164;2016-01-11;28.429166666666667;21.857142857142858;28.429166666666667;2016-01-11;21.857142857142858;2016-01-11;26.048214285714288;2016-01-04;39.666666666666664;2016-01-04;;;;;;;;;;;;
2016-01-11;2016;2;Industrial;338383;3.8418005632670673;1.4776156012565644;2016-01-11;35.03193581780538;31.8;35.03193581780538;2016-01-11;31.8;2016-01-11;33.09804253717297;2016-01-04;46.714285714285715;2016-01-04;;;;;;;;;;;;
2016-01-18;2016;3;Agricultural;60892;4.598305196084872;1.642251855744597;2016-01-18;52.285714285714285;72.83333333333333;52.285714285714285;2016-01-18;72.83333333333333;2016-01-18;28.429166666666667;2016-01-11;21.857142857142858;2016-01-11;26.048214285714288;2016-01-04;39.666666666666664;2016-01-04;;;;;;;;
2016-01-18;2016;3;Industrial;338383;3.6644866911162794;1.3889586651811705;2016-01-18;52.227380952380955;60.166666666666664;52.227380952380955;2016-01-18;60.166666666666664;2016-01-18;35.03193581780538;2016-01-11;31.8;2016-01-11;33.09804253717297;2016-01-04;46.714285714285715;2016-01-04;;;;;;;;
2016-01-25;2016;4;Agricultural;60892;3.777179268212573;2.299152598042436;2016-01-25;65.37440476190476;94.33333333333333;65.37440476190476;2016-01-25;94.33333333333333;2016-01-25;52.285714285714285;2016-01-18;72.83333333333333;2016-01-18;28.429166666666667;2016-01-11;21.857142857142858;2016-01-11;26.048214285714288;2016-01-04;39.666666666666664;2016-01-04;;;;
2016-01-25;2016;4;Industrial;338383;4.225980619593774;1.448063289231433;2016-01-25;51.543452380952374;78.42857142857143;51.543452380952374;2016-01-25;78.42857142857143;2016-01-25;52.227380952380955;2016-01-18;60.166666666666664;2016-01-18;35.03193581780538;2016-01-11;31.8;2016-01-11;33.09804253717297;2016-01-04;46.714285714285715;2016-01-04;;;;
2016-02-01;2016;5;Agricultural;60892;3.4487288970636536;2.134927412467976;2016-02-01;37.378131469979294;36.142857142857146;37.378131469979294;2016-02-01;36.142857142857146;2016-02-01;65.37440476190476;2016-01-25;94.33333333333333;2016-01-25;52.285714285714285;2016-01-18;72.83333333333333;2016-01-18;28.429166666666667;2016-01-11;21.857142857142858;2016-01-11;26.048214285714288;2016-01-04;39.666666666666664;2016-01-04
2016-02-01;2016;5;Industrial;338383;3.9009051873173295;1.0934355449298576;2016-02-01;34.48817287784679;37.0;34.48817287784679;2016-02-01;37.0;2016-02-01;51.543452380952374;2016-01-25;78.42857142857143;2016-01-25;52.227380952380955;2016-01-18;60.166666666666664;2016-01-18;35.03193581780538;2016-01-11;31.8;2016-01-11;33.09804253717297;2016-01-04;46.714285714285715;2016-01-04
2016-02-08;2016;6;Agricultural;60892;2.9560533403402744;0.9853511134467582;2016-02-08;30.795238095238098;31.142857142857142;30.795238095238098;2016-02-08;31.142857142857142;2016-02-08;37.378131469979294;2016-02-01;36.142857142857146;2016-02-01;65.37440476190476;2016-01-25;94.33333333333333;2016-01-25;52.285714285714285;2016-01-18;72.83333333333333;2016-01-18;28.429166666666667;2016-01-11;21.857142857142858;2016-01-11
2016-02-08;2016;6;Industrial;338383;3.989562123392724;1.654929473407352;2016-02-08;34.346428571428575;29.0;34.346428571428575;2016-02-08;29.0;2016-02-08;34.48817287784679;2016-02-01;37.0;2016-02-01;51.543452380952374;2016-01-25;78.42857142857143;2016-01-25;52.227380952380955;2016-01-18;60.166666666666664;2016-01-18;35.03193581780538;2016-01-11;31.8;2016-01-11
2016-02-15;2016;7;Agricultural;60892;3.4487288970636536;3.1202785259147343;2016-02-15;28.9375;27.428571428571427;28.9375;2016-02-15;27.428571428571427;2016-02-15;30.795238095238098;2016-02-08;31.142857142857142;2016-02-08;37.378131469979294;2016-02-01;36.142857142857146;2016-02-01;65.37440476190476;2016-01-25;94.33333333333333;2016-01-25;52.285714285714285;2016-01-18;72.83333333333333;2016-01-18
2016-02-15;2016;7;Industrial;338383;4.0486667474429865;1.6253771613822208;2016-02-15;34.33571428571428;26.0;34.33571428571428;2016-02-15;26.0;2016-02-15;34.346428571428575;2016-02-08;29.0;2016-02-08;34.48817287784679;2016-02-01;37.0;2016-02-01;51.543452380952374;2016-01-25;78.42857142857143;2016-01-25;52.227380952380955;2016-01-18;60.166666666666664;2016-01-18
2016-02-22;2016;8;Agricultural;60892;4.269854824935952;1.4780266701701372;2016-02-22;22.80595238095238;31.0;22.80595238095238;2016-02-22;31.0;2016-02-22;28.9375;2016-02-15;27.428571428571427;2016-02-15;30.795238095238098;2016-02-08;31.142857142857142;2016-02-08;37.378131469979294;2016-02-01;36.142857142857146;2016-02-01;65.37440476190476;2016-01-25;94.33333333333333;2016-01-25
2016-02-22;2016;8;Industrial;338383;4.107771371493248;1.3298540411309079;2016-02-22;30.020238095238096;57.0;30.020238095238096;2016-02-22;57.0;2016-02-22;34.33571428571428;2016-02-15;26.0;2016-02-15;34.346428571428575;2016-02-08;29.0;2016-02-08;34.48817287784679;2016-02-01;37.0;2016-02-01;51.543452380952374;2016-01-25;78.42857142857143;2016-01-25
2016-02-29;2016;9;Agricultural;60892;2.9560533403402744;1.3138014845956776;2016-02-29;22.701569264069263;22.428571428571427;22.701569264069263;2016-02-29;22.428571428571427;2016-02-29;22.80595238095238;2016-02-22;31.0;2016-02-22;28.9375;2016-02-15;27.428571428571427;2016-02-15;30.795238095238098;2016-02-08;31.142857142857142;2016-02-08;37.378131469979294;2016-02-01;36.142857142857146;2016-02-01
2016-02-29;2016;9;Industrial;338383;3.7235913151665416;1.3889586651811705;2016-02-29;26.83566252587992;25.666666666666668;26.83566252587992;2016-02-29;25.666666666666668;2016-02-29;30.020238095238096;2016-02-22;57.0;2016-02-22;34.33571428571428;2016-02-15;26.0;2016-02-15;34.346428571428575;2016-02-08;29.0;2016-02-08;34.48817287784679;2016-02-01;37.0;2016-02-01
2016-03-07;2016;10;Agricultural;60892;3.4487288970636536;1.4780266701701372;2016-03-07;23.798214285714288;31.142857142857142;23.798214285714288;2016-03-07;31.142857142857142;2016-03-07;22.701569264069263;2016-02-29;22.428571428571427;2016-02-29;22.80595238095238;2016-02-22;31.0;2016-02-22;28.9375;2016-02-15;27.428571428571427;2016-02-15;30.795238095238098;2016-02-08;31.142857142857142;2016-02-08
